,tweets,likes,time,user name,RT count,media
328,#Kickante - #SalvemoFolclore 2 (Campanha para produção da peça) https://t.co/UG88VcczWM via @YouTube convido você a… https://t.co/11AXLUdSvY,2,25/06/2021 03:38:29,Jairosantos09,0,
327,@RuiPaiva5 O inglês desta senhora consegue ser pior que o do cabrita … de onde vieram estes governantes analfabetos… https://t.co/hYBAg5unbB,18,25/06/2021 04:10:01,1143portugal,0,
326,"@leothisway Será q ainda vamos espera anos pelos act II, seria todo se ela lançasse quando o cd fizer 10anos",1,25/06/2021 04:10:30,danyholtzz,0,
325,"Todo empezó en 1,990 cuando un profesor de la agraria ,se presentó con su tractor y derrotó. a Vargas Llosa le gust… https://t.co/aL55m4oCdl",7,25/06/2021 04:12:25,Gerardo74028231,1,
324,Acabo de viajar 10años atras en el tiempo con una sola canción,0,25/06/2021 04:20:49,andiehood,0,
323,"Por tal motivo, para este “aniversario” me gustaría rescatar una columna escrita en esa época, para retratar el “Ze… https://t.co/Fev4v0H2h6",0,25/06/2021 04:33:20,vormatio,0,
322,"Si las cosas son así, yo tengo COVID hace 10años https://t.co/fREfIuWmOu",6,25/06/2021 05:07:30,walozada8,1,
321,@facundoibarra7 @Clariss25148039 Dou amigo tenes 10años ajja. No es bait,1,25/06/2021 05:10:32,KingLexMC,0,
320,"Aquela trend lá

""Você se lembra quando seu primo te assediava , ficava te olhando pela porta enquanto tomava banho… https://t.co/UYIoKm0yWo",3,25/06/2021 05:13:54,_Theteu__,0,
319,Twinks 10años después de haberse traveseado la carita con el amigue de la estetika https://t.co/QMNIhuqrXr,14,25/06/2021 05:16:00,jpguillenz,0,https://pbs.twimg.com/media/E4tC5x7X0AAdbfm.jpg
318,"@maelcue El primero que leí y me emociono fue en inglés, tenia 10años. Se llama Tales of Fourth Grade Nothing. El p… https://t.co/nBeRsMUw1m",1,25/06/2021 05:34:47,Larita0308,0,
317,10años en tt omg,0,25/06/2021 05:55:08,StephanieOrti11,0,
316,#Orense.... 10años de confinamiento.... Es demasiado!! https://t.co/2VSXv9Gouw,3,25/06/2021 06:12:45,ecorebeldes,4,
315,"Nmms qn diría que tengo casi 10años con esta cuenta, tenía 10 años cuando la cree wtfff porq tenía acceso a internet a esa edad",0,25/06/2021 07:06:33,gudup0p616,0,
314,"@svetisl34654449 @taquilla_espana Ayer 16 h no parecia festivo y 18 c salia de lq sala ,povo mas gente pero vamos c… https://t.co/DlszsmhNoS",0,25/06/2021 09:37:02,M7516014276,0,
313,"¿Y con este HDLGP que hacemos?
@vox es el único partido que pide penas
perpétuas para estos delincuentes
todos los… https://t.co/uAQR1Wvavy",52,25/06/2021 09:40:42,templar_aragon_,45,
312,@Ines_Sara @ManNextDoor (com o nosso 10anos na barriga 💪❤️),0,25/06/2021 10:07:37,metroplinetida,0,
311,OP me mata com esses enigmas que serão explicados daqui há 10anos #OnePiece1017,3,25/06/2021 10:12:39,barrossjr,0,
310,"📅25/6 #JornadaDeCierre #UNJuProDis 
🕙10:00 Hs. Acto de apertura:  Palabras de Bienvenida y breve historia de UNJuP… https://t.co/odOioqq88l",1,25/06/2021 10:32:47,unjuvirtual,1,
309,"#Iberdrola $IBE
Media 50 sesiones: 11,117
Media 200 sesiones: 11,082
Media 1000 sesiones: 8,531

PER Forward 2021:… https://t.co/ulAJwvQGnY",2,25/06/2021 10:45:55,LibertyDividend,0,
308,"Arraial de verdade: é na Sandro Brandi Automóveis! Ofertas, preços baixos e comidas típicas juninasAs comemorações… https://t.co/5Ht0vauuXD",0,25/06/2021 11:00:23,brandi_sandro,0,
307,Comunidad de villa victoria sector farinachi le pide al gobernador asfalto para sus calle 10años viendo entre tierr… https://t.co/a2xvDKCSct,0,25/06/2021 11:55:19,johannarosaly2,0,
306,Eu assisti essa merda a 10anos.... Putaquepariu AAAAAaA https://t.co/7aF9TBXWvr,0,25/06/2021 12:24:07,LoveMercys2,0,
305,"""La #ciencia es una actividad colectiva, así lo entendimos hace #10Años, cuando... decidimos convertirnos en un equ… https://t.co/s6lLxZrTcc",8,25/06/2021 12:27:00,InstitutoBNI,1,
304,Su aislamiento natural y siglos de actividad agrícola autóctona hacen de #Chiloé un Sistema Importante del Patrimon… https://t.co/KnhvPK5oiB,1,25/06/2021 12:36:53,MinagriLosLagos,1,
