,tendencia,explicación,url,media,time,suceso
0,Falcioni,Por su emoción tras la victoria de Independiente,https://t.co/ycWSYxzL9w,https://pbs.twimg.com/media/E1dpOKXWEAQXW9k.jpg,15/05/2021 22:47:59,deportivo
1,Independiente,Porque venció a Estudiantes y avanzó a semifinales de la #CopaDeLaLiga,https://t.co/fDbVPk4xAz,https://pbs.twimg.com/media/E1dqZclWQAIYatk.jpg,15/05/2021 22:47:32,deportivo
2,Pergolini,Por la historia que publicó en Instagram,https://t.co/aJr9MwZQyI,https://pbs.twimg.com/media/E1dTpzxWEAUUKPY.jpg,15/05/2021 21:08:10,covid
3,Havanna,Por el video que publicó @alfajorperdido,https://t.co/dlBGoApF91,https://pbs.twimg.com/ext_tw_video_thumb/1393628072461672450/pu/img/G88yjWg58Mqu3fas.jpg,15/05/2021 19:30:56,aislado
4,Tielemans,Porque convirtió el gol para la victoria de Leicester ante Chelsea en la #FACupFinal,https://t.co/oAKnbKohnv,https://pbs.twimg.com/media/E1ckUHCVIAIgRWF.jpg,15/05/2021 18:11:13,deportivo
5,Leicester,Porque venció a Chelsea y se consagró campeón de la #FACup,https://t.co/OeXFejtSwZ,https://pbs.twimg.com/media/E1crD7vWQAMxqG-.jpg,15/05/2021 18:10:49,deportivo
6,Juventus,Porque derrotó a Inter en la #SerieA,https://t.co/7kYQrAhBXf,https://pbs.twimg.com/media/E1cqJ4nWEAEM1P_.jpg,15/05/2021 18:06:51,deportivo
7,River,Porque 10 de sus jugadores dieron positivo de #COVID19,https://t.co/diaUyYg6OP,https://pbs.twimg.com/media/E1cdfHFX0AAJon4.png,15/05/2021 17:11:30,covid
8,LigaNacional,Porque San Lorenzo venció a Quimsa y se consagró campeón de la #LNB,https://t.co/WZs5m3fHBO,https://pbs.twimg.com/media/E1cY6u9XEAIcVZm.jpg,15/05/2021 16:51:33,deportivo
9,JulioFernández,Porque reemplaza a Juan Pablo Belatti como asistente en el #Superclasico,https://t.co/urcScc9TI5,https://pbs.twimg.com/media/E1cOJD0X0AQVewo.jpg,15/05/2021 16:04:27,deportivo
10,RobertLewandowski,Porque igualó el récord de Gerd Müller convirtiendo 40 goles en una misma #Bundesliga,https://t.co/0NZhznf7Bt,https://pbs.twimg.com/media/E1cMwmFXsAQRiec.jpg,15/05/2021 15:58:25,deportivo
11,Rangers,Porque terminó la #ScottishPremiership sin derrotas y recibió el trofeo de campeón,https://t.co/JzR9pEXzIZ,https://pbs.twimg.com/media/E1cAYIwX0AEqRJR.jpg,15/05/2021 15:04:19,deportivo
12,SergioDenis,Porque se cumple un año desde su muerte,https://t.co/YuIPjDVtG7,https://pbs.twimg.com/media/E1cATxyXoAQBJFC.jpg,15/05/2021 15:04:01,artístico
13,VillaAngostura,Porque la ciudad cumple 89 años,https://t.co/E3x4MmC6Hx,https://pbs.twimg.com/media/E1b2HFEWQAMKeaP.jpg,15/05/2021 14:19:28,conmemorativo
14,Djokovic,Porque venció a Stefanos Tsitsipas y avanzó a semifinales de #IBI21,https://t.co/vIEt6V0oGN,https://pbs.twimg.com/media/E1bywNxXEAI8_DB.jpg,15/05/2021 14:04:48,deportivo
15,AlJazeera,Porque reportan que Israel bombardeó un edificio de Gaza en el que estaban las oficinas de ese medio y de Associated Press,https://t.co/hXMUR9bF7C,https://pbs.twimg.com/ext_tw_video_thumb/1393547206276358148/pu/img/-IeCFGsSs3OTEILk.jpg,15/05/2021 14:01:44,trágico
16,Leeds,Porque derrotó a Burnley en la #PremierLeague,https://t.co/CgDvQvYmjQ,https://pbs.twimg.com/media/E1bvd-0XIAIyf1p.jpg,15/05/2021 13:50:27,deportivo
17,Anabel,Por su nueva canción #good4u,https://t.co/nmv1pMrHbI,https://pbs.twimg.com/media/E1bvX4lXEAERFYY.jpg,15/05/2021 13:50:02,artístico
18,AmyAdams,Por el estreno de #TheWomanInTheWindow en Netflix,https://t.co/RbTNoSWi70,https://trailerlist.net/wp-content/uploads/2019/12/The-Woman-in-the-Window-Movie-Trailer-2020.jpg,15/05/2021 2:07:35,artístico
19,MissUniverso,Por el homenaje de la representante argentina Alina Luz Akselrad para Diego Maradona,https://t.co/2KLWr9sDsD,https://pbs.twimg.com/media/E1YyXYWWEAET6Vk.jpg,15/05/2021 0:04:15,aislado
20,EnriquePiñeyro,Porque contó que ofreció su avión para traer vacunas a Argentina pero el gobierno no le respondió,https://t.co/qiWMlMLsVF,https://pbs.twimg.com/media/E1YpB2UX0AczflA.jpg,14/05/2021 23:23:28,covid
21,PreciosMáximos,Porque informan que se prorrogó su vigencia hasta el 8 de junio,https://t.co/PcYTIC7cGe,https://pbs.twimg.com/media/EllPHCNWoAIHtjC.jpg,14/05/2021 22:42:40,político
22,Temperley,Porque venció a Chacarita en la #PrimeraNacional,https://t.co/VSNIMll91J,https://pbs.twimg.com/ext_tw_video_thumb/1393325501394132994/pu/img/pmm5HGTDpIz01ZUB.jpg,14/05/2021 22:35:09,deportivo
23,Violetta,Porque se cumplen 9 años desde su estreno,https://t.co/9Md468Zq9K,https://pbs.twimg.com/media/E1Yd6J4WYAUwh2I.jpg,14/05/2021 22:34:52,conmemorativo
24,InstitutoPatria,Por la firma de un convenio de cooperación con el Instituto Lula,https://t.co/JuiCL7hpJz,https://pbs.twimg.com/media/E1WrtXxWYAM6SSq?format=jpg&name=large,14/05/2021 22:34:14,político
25,Reserva,Porque River venció a Independiente y avanzó a semifinales de la #CopaDeLaLiga en #Reserva,https://t.co/7Ey9XfJqcn,https://pbs.twimg.com/media/E1X6eHtWUAIy9E3.jpg,14/05/2021 20:00:02,deportivo
26,TrenRoca,Porque informan que funciona con servicio limitado debido a una manifestación que impide el paso de los trenes,https://t.co/6WFgU473tO,https://pbs.twimg.com/media/E1X3SfjXMAEAbtz.jpg,14/05/2021 19:46:08,político
27,ExequielPalacios,Porque Bayer Leverkusen comunicó que sufrió una lesión muscular y se perderá el resto de la temporada,https://t.co/oE9tkdC9Pb,https://pbs.twimg.com/media/E1Xgi6ZXoAUOP61.jpg,14/05/2021 18:06:46,deportivo
28,Oreo,Por el tweet que publicó @sergiodwy,https://t.co/9wKSuTPrKi,https://pbs.twimg.com/media/E1W1z1SWUAIpzMS.jpg,14/05/2021 15:00:03,político
29,MáximoKirchner,Porque presentó un proyecto de ley para disminuir la tarifa de gas en las zonas frías,https://t.co/UZDX7mYHbo,https://pbs.twimg.com/ext_tw_video_thumb/1392979795659694083/pu/img/K21TaKpGkyXXLPI5.jpg,14/05/2021 14:30:54,político
30,MarceloTinelli,Porque solicitó una licencia a su cargo de presidente de San Lorenzo,https://t.co/GPt7wchfdn,https://pbs.twimg.com/media/E1WtorlXoAgFnrs.jpg,14/05/2021 14:24:20,deportivo
31,EducaciónIntegral,Porque se convirtió en ley tras la aprobación del Senado,https://t.co/gLgV45w2dI,https://pbs.twimg.com/media/E1WqM3iXMAA-001.jpg,14/05/2021 14:09:20,político
32,FondoInternacional,Por la reunión de Alberto Fernández con su directora Kristalina Georgieva,https://t.co/E194oNiOJF,https://pbs.twimg.com/media/E1WpSWSXIActeNT.jpg,14/05/2021 14:05:20,político
33,Rial,Porque informan que viajará a Miami para vacunarse contra el #COVID19,https://t.co/QqtwHeVobr,https://pbs.twimg.com/media/E1WngajXsAI7K-d.jpg,14/05/2021 13:57:35,covid
34,Brancatelli,Por el tweet que publicó,https://t.co/yBaoZuxk5v,https://pbs.twimg.com/media/E1WmMPQWQAIMMSi.jpg,14/05/2021 13:51:49,político
35,OliviaRodrigo,Por su nueva canción #good4u,https://t.co/778GSX2ylM,https://pbs.twimg.com/media/E1WmCzJWYAA-vk_.jpg,14/05/2021 13:51:10,artístico
36,NaimVera,Porque informan que fue condenado a prisión pertpetua por el femicidio de Brenda Micaela Gordillo,https://t.co/4jDWZ3U45K,https://pbs.twimg.com/media/E1Wl5iaWEAMAu0I.jpg,14/05/2021 13:50:32,político
37,Almeyda,Por las declaraciones de Axel Kicillof en A24,https://t.co/BsXFNIDiXu,https://pbs.twimg.com/ext_tw_video_thumb/1393033925224697868/pu/img/wQ-4vujlbRwOG9YP.jpg,14/05/2021 2:43:06,político
38,ORSNA,Por el cruce de Fernando Muriel con Eduardo Feinmann y Gabriel Iezzi en #ElNoticiero,https://t.co/HPMobKmolz,https://pbs.twimg.com/ext_tw_video_thumb/1393027516990906374/pu/img/mN0-moTk4P9QfLJd.jpg,14/05/2021 2:17:54,mediático
39,TANTONOW,Por la nueva canción de Maia Reficco,https://t.co/kkTyHNgXXy,https://pbs.twimg.com/media/E1TN0stXoAAIcBe.jpg,13/05/2021 22:06:29,artístico
40,Liverpool,Porque derrotó a Manchester United en la #PremierLeague,https://t.co/VT8C4ELPDk,https://pbs.twimg.com/media/E1TA7ksXoAYzjIa.jpg,13/05/2021 21:10:10,deportivo
41,TEOUT,Por la nueva canción de Khea y Maria Becerra,https://t.co/s06gFqi7NR,https://pbs.twimg.com/media/E1TAe_gXsAIZh5L.jpg,13/05/2021 21:08:12,artístico
42,Dortmund,Porque venció a Leipzig y se consagró campeón de la #DFBPokal,https://t.co/aCrDwvrAhD,https://pbs.twimg.com/media/E1S6_EWWYAUHODV.jpg,13/05/2021 20:44:11,deportivo
43,Pergolini,Por sus declaraciones en #Maldición sobre la CONMEBOL y Marcelo Gallardo,https://t.co/4YBbGIVgfO,https://pbs.twimg.com/ext_tw_video_thumb/1392933418971840512/pu/img/Dzc8wUek9fZWOr7g.jpg,13/05/2021 20:03:47,deportivo
44,INDEC,"Porque comunicó que la inflación fue de 4,1% en abril",https://t.co/s7l4vQws3h,https://pbs.twimg.com/media/E1St3WZXIAIcXnb.jpg,13/05/2021 19:46:51,político
45,CinderellaCamila,Por las nuevas imágenes de Camila Cabello en #CinderellaMovie,https://t.co/a3noK9usJT,https://pbs.twimg.com/media/E1Ssd2wXIAED43c.jpg,13/05/2021 19:40:47,artístico
46,AlfredoCasero,Por sus declaraciones en #VerYRever,https://t.co/S1QvnDO5EX,https://pbs.twimg.com/ext_tw_video_thumb/1392920709547151366/pu/img/IFWRvwCpJT08vfA-.jpg,13/05/2021 19:15:32,mediático
47,CarlosStornelli,Porque informan que fue internado por #COVID19,https://t.co/hXTrY1XFJ6,https://pbs.twimg.com/media/E1SmnjNWYAkMBgY.jpg,13/05/2021 19:15:12,covid
48,HBOMax,se estrenará el 27 de mayo y estará disponible en junio para Latinoamérica,https://t.co/ROvTvDSau0,https://pbs.twimg.com/ext_tw_video_thumb/1392891500489498632/pu/img/e-atLeCjwbTuzChd.jpg,13/05/2021 17:34:48,artístico
49,Centenario,Porque será sede de las finales de #Sudamericana y #Libertadores 2021,https://t.co/R9lJNXc10p,https://pbs.twimg.com/media/E1SPCLnXoAEmOeI.jpg,13/05/2021 17:32:09,deportivo
50,ENOLACOMING,Porque Netflix anunció la segunda película de #EnolaHolmes,https://t.co/BtpAeNzCB2,https://pbs.twimg.com/media/E1R26DvXoAg2bcu.jpg,13/05/2021 17:27:51,artístico
51,Randazzo,Por sus declaraciones en #ForoIntercambios,https://t.co/nhUdz99MBS,https://pbs.twimg.com/ext_tw_video_thumb/1392869682374402049/pu/img/fP7LEIiuttXCwYV8.jpg,13/05/2021 15:49:55,político
52,Nadal,Porque derrotó a Denis Shapovalov y clasificó a cuartos de #IBI21,https://t.co/iNUjgnsEL0,https://pbs.twimg.com/media/E1R2CFQXEAM6qYX.jpg,13/05/2021 15:42:55,deportivo
53,Delbonis,Porque venció a Félix Auger-Aliassime y avanzó a cuartos de #IBI21,https://t.co/CQRl8VaJAB,https://pbs.twimg.com/media/E1RtuJoWUAEzrDH.jpg,13/05/2021 15:06:37,deportivo
54,Lukaku,"Porque simuló la presentación de una pelea entre Lautaro Martínez y Antonio Conte, tras su discusión durante el partido de Inter ante Roma",https://t.co/KNbqh4lYMV,https://pbs.twimg.com/media/E1RgZ-mXIAIQcUF.jpg,13/05/2021 14:46:32,deportivo
55,RobertPattinson,Porque cumple 35 años,https://t.co/iLphfjOD3u,https://pbs.twimg.com/media/E1Rjb06X0AkdH8X.jpg,13/05/2021 14:21:40,conmemorativo
56,Llegaron500,Por la llegada de un vuelo de Aerolíneas Argentinas con 500 mil dosis de la vacuna #SputnikV,https://t.co/rqscrvcSUj,https://pbs.twimg.com/media/E1RjRvtWEAEk5Xu.jpg,13/05/2021 14:20:59,covid
57,Vaticano,Por la reunión de Alberto Fernández con el Papa Francisco,https://t.co/uQb7zWQ57U,https://pbs.twimg.com/media/E1RjLSzXoAAwRqO.jpg,13/05/2021 14:20:32,político
58,TheLancet,Por una publicación sobre la vacuna #SputnikV en esa revista,https://t.co/Glr2hOFfIx,https://pbs.twimg.com/media/E1RjDxBXsAU6KSX.jpg,13/05/2021 14:20:02,covid
59,VamosRiver,Por su empate con Junior en la fase de grupos de la #Libertadores,https://t.co/Vk0oCAjE5i,https://pbs.twimg.com/media/E1O45yKX0AECDO0.jpg,13/05/2021 1:56:36,deportivo
60,Barranquilla,Porque reportan que gases lacrimógenos de la Policía llegaron al estadio donde se enfrentarán Junior y River,https://t.co/jnIEVLETZo,https://pbs.twimg.com/media/E1OX4dtXsAIfTqi.jpg,12/05/2021 23:32:20,político
