id,tendencia,explicación,url,media,time,suceso
0,ClubParís,Por el anuncio de Martín Guzmán,https://t.co/9qntlFmY0C,https://pbs.twimg.com/ext_tw_video_thumb/1407430289702457345/pu/img/hPjCc2lsxwKGrxcd.jpg,2021-06-22 20:08:40,político
1,HoracioGonzález,Porque informan que murió a sus 77 años,https://t.co/0NiSng7sZr,https://pbs.twimg.com/media/E4gyPlYWEAod15i.jpg,2021-06-22 20:07:46,conmemorativo
2,GritaloPorD10S,Por la iniciativa de @Argentina,https://t.co/gLA2OAChVU,https://pbs.twimg.com/ext_tw_video_thumb/1403351185852145666/pu/img/9o8NUMN8LJ6ISGxQ.jpg,2021-06-22 18:49:55,conmemorativo
3,DelPotro,Porque no participará en #Tokyo2020,https://t.co/mlg53R12ep,https://pbs.twimg.com/media/E4gDXGKWQAgpwy5.jpg,2021-06-22 16:42:57,deportivo
4,Metallica,Porque anunció #TheMetallicaBlacklist,https://t.co/pKoMtoJhP7,https://pbs.twimg.com/media/E4fpfOsXIAsMZZ_.jpg,2021-06-22 14:49:54,artístico
5,UEFA,Porque rechazó la petición para que el Allianz Arena se ilumine con los colores del arcoíris durante el próximo partido de Alemania en la #EURO2020,https://t.co/1vO3E8Kj6n,https://pbs.twimg.com/media/E4fpZLeWEAMmgX6.png,2021-06-22 14:49:29,aislado
6,MerylStreep,Porque cumple 72 años,https://t.co/qDa8FHmbRj,https://pbs.twimg.com/media/E4faXF1WQAALuGK.jpg,2021-06-22 13:43:48,conmemorativo
7,Abdala,"Porque informan que esa vacuna contra el #COVID19 tiene un 92,28% de eficacia",https://t.co/yXspRQmfcN,https://pbs.twimg.com/media/E4fW8tzWYAY-Iqw.jpg,2021-06-22 13:28:54,covid
8,Maradona,Porque se cumplen 35 años desde sus dos goles para la victoria de la Selección Argentina ante Inglaterra en #Mexico86,https://t.co/ENgOsWa7bA,https://pbs.twimg.com/ext_tw_video_thumb/1321597364629590016/pu/img/evbAE7WkPGFugoTM.jpg,2021-06-22 13:16:31,conmemorativo
9,Papu,Porque Alejandro Gómez convirtió el gol para la victoria de la Selección Argentina,https://t.co/9b6NInVzrZ,https://pbs.twimg.com/media/E4chVCnWYAAbvUp.jpg,2021-06-22 2:16:28,deportivo
10,ARGPAR,Porque la Selección Argentina venció a Paraguay y clasificó a los cuartos de la #CopaAmerica,https://t.co/Nj4lu0fwFw,https://pbs.twimg.com/media/E4c5t-eXwAIXFTu.jpg,2021-06-22 2:01:56,deportivo
11,JuegaMessi,Porque informan que Lionel Messi será titular en el partido de la Selección Argentina ante Paraguay,https://t.co/NcNbsaVani,https://pbs.twimg.com/media/E4cLmW7XMAQYkLB.jpg,2021-06-21 22:40:27,deportivo
12,Formosa,Por las declaraciones de Michelle Bachelet en el #CDH47,https://t.co/k1YvRxHNnK,https://pbs.twimg.com/media/E4cHdz-XIAUk6Cm.jpg,2021-06-21 22:22:24,político
13,CarlaVizzotti,Por sus declaraciones sobre las vacunas contra el #COVID19,https://t.co/IuvxsWHUv3,https://pbs.twimg.com/media/E4b4HonXoAMJ72x.png,2021-06-21 21:15:20,covid
14,250NOW,"Por la nueva canción de MYA, Tini y Duki ",https://t.co/NpEGwJ6x2h,https://pbs.twimg.com/media/E4b3-R0XoAIBJho.jpg,2021-06-21 21:14:42,artístico
15,Samid,Por la difusión de este video,https://t.co/zoqZsjQ3qf,https://pbs.twimg.com/ext_tw_video_thumb/1407080200811188227/pu/img/vhNeiVNOWrYQ5C96.jpg,2021-06-21 21:13:51,aislado
16,Dinamarca,Porque derrotó a Rusia y clasificó a los octavos de la #EURO2020,https://t.co/yavXhrQ1mI,https://pbs.twimg.com/media/E4b0pUXWUAAGhPS.jpg,2021-06-21 21:00:09,deportivo
17,Austria,Porque venció a Ucrania y enfrentará a Italia en los octavos de la #EURO2020,https://t.co/4KOCQMbzJa,https://pbs.twimg.com/media/E4bRNbjXEAEoQo0.jpg,2021-06-21 18:25:20,deportivo
18,FreePaulo,Por el pedido para que Paulo Londra pueda volver a publicar música,https://t.co/MELhlbP1Fr,https://pbs.twimg.com/media/E4bOzJwWUAQhHjO.jpg,2021-06-21 18:14:49,aislado
