,tweets,likes,time,user name,RT count,media
512,@shinglejingle tenía la cara de decir que actuaba mal POR DIOS,0,25/06/2021 23:35:21,luatslt91,0,
511,"@AnderssonBoscan ¿Te acuerdas cuando Correa lo hacía? Se evitaba ""maquillajes"" y ""arreglitos"" superficiales. Se act… https://t.co/zJ9Obh7XBk",70,25/06/2021 23:36:08,SalvadorMIsabel,12,
510,en fin lu el personaje que llevaba toda la serie en sus hombros y también la que mejor actuaba https://t.co/bhXJfEhVmP,0,25/06/2021 23:42:08,baekniaz,0,https://pbs.twimg.com/media/E4xAE2xXoAAi9Yw.jpg
509,"@lopezobrador_ Las autodefensas en Michoacán del Doctor Mireles, de mostraron que si funcionan porque el Ejercito n… https://t.co/nZxAeRY7Hv",0,25/06/2021 23:49:17,JonathanBrisby1,1,
508,imagínense cuánto se tardaron en capturar al esposo de Flor que desde el inicio actuaba como un sospechoso… https://t.co/XwSPU5BE4r,5,25/06/2021 23:49:59,kaatthee,0,
507,"No les parece una ""guerrillita"" el movimiento que amaneza a Transmilenio y sus ocupantes? 

Me suena familiar, así… https://t.co/HNaTVTGitS",33,26/06/2021 00:28:26,MarceLaALarcon,3,
506,"Entre los sueños mas WTF que he tenido esta la de tener un escorpión rojo de mascota y que este actuaba como perro… si, ladraba también",0,26/06/2021 00:49:08,MiguElLuna7,0,
505,@DSantaCruzok Te quiero Dani. Te jodo. Actuaba en Casi Angeles. Es de los niños Cris Morena.,1,26/06/2021 00:54:49,frejadani,0,
504,"@sweetjkland Yo veo doramas y vi uno donde actuaba Tae y me encanto, más el Ost que canto con Jin 😍😍 Desde ahí busq… https://t.co/wiKnsFc2SU",0,26/06/2021 01:06:46,Arlo_yomiko,0,
503,@verborik Jajajajajaj... Igual actuaba bien! Jajjajajaj,1,26/06/2021 01:08:49,PTgonTroglodita,0,
502,"@SalvadorMIsabel @AnderssonBoscan Claro el actuaba de forma INMEDIATA PIDIENDO SU TAJADA Y TODO VOLVÍA A LA ""NORMAL… https://t.co/HnUuo2fNZa",3,26/06/2021 01:12:09,Eduardo_EC593,0,
501,@TOHMAB0T ¿Cómo se actuaba en aquellas situaciones? Su tiempo de muerto le había hecho olvidar lo que era la vergüe… https://t.co/wty51dwGuA,1,26/06/2021 01:14:34,_iMem0ry,0,
500,"El combo de la decadencia!!!
Lo tragicómico es la gente que los banca, creen ser superiores y los representan esos… https://t.co/vfuVLsGxzu",1,26/06/2021 01:26:03,Rron2015,0,
499,"@LilPatoVert Yo tampoco sé mucho, pero ese cabrón no actuaba nada, aunque sí mejoró del episodio 2 al 3.",1,26/06/2021 01:37:06,adrianarrieta09,0,
498,"Lastimosamente las autoridades son incompetentes, desde el principio el tenía que ser el primer sospechoso, interro… https://t.co/tyMylq64dn",11,26/06/2021 01:41:27,Monicastellon1,2,
497,@Fichinescu Igual halo no tuvo una serie que llevaba al halo 5? En la que actuaba el que después hizo de Luke cage,1,26/06/2021 01:50:04,RoguishRazmiran,0,
496,"Ya me acordé, este weón se había pegado la crecida y por eso actuaba como adolescente edgy 😟 https://t.co/yJX0gSNBmT",0,26/06/2021 02:12:09,Kairu_sArt,0,
495,"@Selin_Mnz @SebasPiedra2 Hablas del señor R? Extrañé verlo roleando en marbella, pero la razón de no ser invitado a… https://t.co/bf4KeUoNMG",1,26/06/2021 02:19:58,Rolandi50339269,0,
494,@hanijpyeong Pero Hisoo actuaba como si las niñeras tampoco pudiésemos querer a nuestros niños. Eso tampoco me gust… https://t.co/AhLKZmnraE,1,26/06/2021 02:24:31,_Asiancinema_,0,
493,@R_ALID @melnicksergio @carlaarenas2 Es q la verdad yo pensaba que él actuaba bien! Pero tenemos tiempo para revert… https://t.co/xyCzRF65ha,0,26/06/2021 02:46:56,GloriaAlarcn1,0,
492,@T13 1- Pensaba que así actuaba el covid 19 ? 2- Como un examen diferencia el tipo de virus? 🤔,1,26/06/2021 02:47:54,Rodrigoozz,0,
491,"El tio Vladi la tenía clara desde el 10 de Junio y Miki Torres no actuaba,
entonces queda comprobado,
Miki Torres es un huevón 🤓",0,26/06/2021 02:56:40,Michael__Flores,0,
490,@Josel_taveras @faustorosario @GustavoOlivoPea @Farideraful @JeanARodriguezS @YeniBerenice @WilsonCamachoP… https://t.co/oYSWCllUFw,2,26/06/2021 03:17:46,Carlitosway67,0,
489,"Hoy en día sos una de las estrellas  pops MÁS GRANDE del mundo.
Esa pequeña niña que cantaba covers de Gaga o KP, e… https://t.co/bUlrYjOykL",0,26/06/2021 03:18:52,fakesmilexbiyin,0,
488,@fkrklect @VanyaThais @larepublica_pe CONFESION JUDICIAL de M.BARTET Mismo N° 2 del SIN y Brazo Derecho del Crimina… https://t.co/jB98cHGqsV,5,26/06/2021 03:19:00,Marcos667788,2,
487,LO QUE ME ACABO DE ACORDAR yo cuando descubri que la q actuaba en sam y cat cuando era chiquita era ariana no saben… https://t.co/Ju4rArHh8y,0,26/06/2021 03:19:06,Ion6Iy,0,
486,"Hola soy sofi tengo 17 años y soy de argentina. Admiro a Lali desde que actuaba en casi ángeles, esperanza mia y fl… https://t.co/vxTqn4n6wy",5,26/06/2021 03:23:20,sweetlyesposs,0,
485,El Paco si se ve que actuaba en escenas de Rosa de Gpe con ese bailecito jajajajajjajaa #ContiendaSurvivor,3,26/06/2021 03:27:43,DannaliBorjonHz,0,
484,"Desde ya aviso que creo que era una mala peli, tengo muy vagos recuerdos al respecto.
Creo que era de los 90 más o… https://t.co/hCo8emaWWM",1,26/06/2021 03:31:55,fatiiper,1,
483,"REPORTAJE PREMIADO - El Ejército mexicano desvió 14,8 millones de dólares a una empresa fantasma que actuaba en con… https://t.co/GWxFE9uK2e",0,26/06/2021 03:32:51,vicfloresgarcia,2,
482,@fkrklect @larepublica_pe CONFESION JUDICIAL de Merino Bartet el MAX # 2 del Mismisimo SIN y Brazo Derecho del Cimi… https://t.co/Onp6yjyisV,3,26/06/2021 03:40:36,Marcos667788,1,
481,@fkrklect @larepublica_pe CONFESION JUDICIAL de M. Bartet el Mismo # 2 del Mismisimo SIN y Brazo Derecho del Cimina… https://t.co/Ko3ewbCqdr,6,26/06/2021 03:43:07,Marcos667788,2,
480,@ESisifo CONFESION JUDICIAL de M.BARTET Mismo N° 2 del SIN y Brazo Derecho del Criminal de Montesinos en este Organ… https://t.co/HQA0yfCQDt,1,26/06/2021 04:08:09,Marcos667788,0,
