,tweets,likes,time,user name,RT count,media
288,"...a simple vista se puede apreciar como la cúpula del Poder del kichnerismo, del kamporismo maximaoista y de este Gobierno, está integrado por una gran mayoría de "" afroamericanos "" y de  representantes de "" pueblos originarios ""!!! Es notable!!!!",2,22/06/2021 02:23:45,IgnacioRiverol,1,
287,Desciende de afroamericanos https://t.co/dh0wGtNbNe,0,22/06/2021 02:26:49,LOLETALEFF,0,https://pbs.twimg.com/media/E4c_aewWQAAo2Ie.jpg
286,Alberto después de decir boludeces sobre Argentinos Afroamericanos https://t.co/Qo9jc7ACbR,2,22/06/2021 02:27:53,churrasquit0,0,
285,"La nueva burrada de ALBERSO que hizo llorar de risa a Feinmann: “Descendientes en afroamericanos” 
@edufeiok #alberso #burrada #afroamericanos #AlbertoRacista #albertosarwin #kukas #frentedegarkas

https://t.co/iYAcQG4J4k",4,22/06/2021 02:31:23,agarra_pala,1,
284,"""TENEMOS DESCENDIENTES que se convirtieron en afroamericanos"", dijo AF, (sic). Yo creo que habla por fonética, lo que le viene a la imaginación lo dice. El problema que eso le ocurre todos los dias",10,22/06/2021 02:34:11,Tati1949,2,
283,"Los chinos afroamericanos de quilmes, comen perros ???",5,22/06/2021 02:35:03,lacmagiur,0,
282,"A ver, que etnia come perros, no la que vino en los barcos, tampoco los Afroamericanos. De donde vienen estos HDP? @GabyLevinas @osvaldobazan @peponila @Gus_Noriega @LuisGasulla https://t.co/dVVHOznVuw",0,22/06/2021 02:37:02,Lachinga11,0,
281,"""Tenemos descendientes que se conviertieron en afroamericanos"". Fin. #ElPeorGobiernoDeLaHistoria https://t.co/rdrwFKA5Ot",3,22/06/2021 02:45:45,Tukiss69,0,https://pbs.twimg.com/media/E4dDvsMXoAg8zqt.jpg
280,"Nadie:
Absolutamente nadie:
El presidente de la Nación y brillante profesor de la UBA: ""Tenemos descendientes que se convirtieron en afroamericanos"".",56,22/06/2021 02:46:13,JolieSoleil,1,
279,El presidente parece que aún no está convencido de su imbecilidad que ahora sale a ofender nuevos continentes. #afroamericanos,0,22/06/2021 02:46:15,pgianferro,0,
278,"@lunesintratable
Ustedes entienden la cantidad de jubilaciones de descendientes afroamericanos que vamos a ahorrar al no poder darle la 2da dosis de Sputnik a los mayores de 60/65?",0,22/06/2021 02:46:22,willybbeltran,0,
277,"Personajes afroamericanos, aunque este tipo en específico solo se queda en remplazar personajes existentes, siendo inclusión forzada al solo hacer el cambio por meros motivos publicitarios y no respetando el material de origen. Actualmente tenemos el cambio de Bellota+",0,22/06/2021 02:49:23,CarnoRex29,0,
276,Alberto decidite si somos europeos o afroamericanos 😂,0,22/06/2021 02:55:57,_NicoHerrera_,0,
275,#BastaBaby hmm... afroamericanos? Por casualidad no estarán entregando DNI para que voten a los k? Nunca una puntada sin hilo... @angeletchecopar,4,22/06/2021 02:56:45,JUSTICIXNISMAN,0,
274,"@marcelo_espil @emilron @SantiOlsze De que país?
Del de los indios?
Del de la selva?
Del de los barcos?
O afroamericanos?",0,22/06/2021 02:57:55,NenTomy,0,
273,"@PatryBruzzo Lo hicieron antes por la del resfrio o la del sarmpion?? Entonces, como estos afroamericanos los pueden votar por haber recibido 1 dosis de vacuna contra covid??ni siquiera les van a dar la serie completa de 2 dosis... https://t.co/cXdYNvTZjl",4,22/06/2021 02:59:14,abolzicco24,0,https://pbs.twimg.com/tweet_video_thumb/E4dG00sX0AYGBsy.jpg
