,tweets,likes,time,user name,RT count,media
61,"Mientras #guzman habla al pedo por zoom,  el #clubdeparis siguen chivados #odiseaargentina https://t.co/KaDNi13Mp3",0,22/06/2021 01:37:43,chisp7,0,https://pbs.twimg.com/media/E4c0LF8WQAE6JrM.jpg
60,"@RaulCastro_Ruz. Que falta te hace la ferretería de tu padre porque la que te dejo tú medio hermano #FidelCastro no tiene ni una puntilla para tratar de apuntalar el derrumbe irreversible de la robolución.
@Granma_Digital 
@PartidoPCC
@PresidenciaCuba 
#ClubDeParis
#Holguín #Cuba https://t.co/SrcOm4aEic",0,22/06/2021 10:09:59,Jjorge702,0,https://pbs.twimg.com/media/E4epbAwWEAANyqv.jpg
59,"El #endeudamiento, el #comex y la #EconomíaReal &gt; #ClubDeParís y #FMI. ¿De #MercadoEmergente a #EconomíaDeFrontera? &gt; #HOY,  14:00 hs en 
@comexsiglo21 x @radioam1010 con @PatricioMCastro, #ClaudiaSánchez y #HéctorZabala / @ConvencionUCR @UCRNacional @UCRCapital @EvolucionCABA https://t.co/y0cHWCRNYS",0,22/06/2021 13:54:36,IngMiguelPonce,0,https://pbs.twimg.com/media/E4fctVGWUAAZMEb.jpg
58,#ClubDeParis La Argentina haría un pago a cuenta del vencimiento y evitaría el default. Gran jugada de @Martin_M_Guzman,0,22/06/2021 18:31:04,lucasarza,0,no hay url
57,"ARGENTINA LE PAGARÁ U$S400 MILLONES (DE U$S2.500M) AL CLUB DE PARÍS, PARA NO ENTRAR EN DEFAULT, Y PODER LLEGAR A UN ACUERDO DEFINITIVO MÁS ADELANTE #ClubDeParis #Argentina #Guzman",0,22/06/2021 18:32:59,matias96river,0,no hay url
56,"#ÚLTIMAHORA 
#Argentina realizará un pago parcial al #ClubDeParís. El anuncio lo realizará .@Martin_M_Guzman esta tarde. https://t.co/csL4U3f5xU",0,22/06/2021 18:43:27,Mario_Moray,1,https://pbs.twimg.com/media/E4ge0HsWUAYBwVG.jpg
55,#ECONOMÍA #POLÍTICA #MERCADOS - #ARGENTINA DICE LOGRÓ #ENTENDIMIENTO CON #CLUBDEPARÍS - By #Reuters,0,22/06/2021 19:21:26,jorgeaotaola,0,no hay url
54,"@BetoMendeIeiev Pero al PCCh🇨🇳 le pone todos los crocantes sobre la mesa. 
#ClubDeParis #FMI",1,22/06/2021 19:22:47,FernandoRome00,0,no hay url
53,El ministro Martín #Guzmán anuncia un entendimiento con el #ClubdeParís para que la Argentina extienda hasta el 31 de marzo de 2022 el plazo para hacer una reestructuración de la deuda. La misma lógica se aplica al #FMI. Traducción: todo pasa para después de las #Elecciones,1,22/06/2021 19:23:06,mnspezzapria,0,no hay url
52,"El #Merval se da vuelta y pasa a terreno positivo, por el acercamiento con el #ClubDeParís https://t.co/xkNFhqIiUT https://t.co/6lRyhILOu6",0,22/06/2021 19:24:02,Mario_Moray,0,https://pbs.twimg.com/media/E4goOvzXEAMVaVD.jpg
51,#ECONOMÍA #POLÍTICA #MERCADOS - #ARGENTINA HARÁ PAGOS POR 430 MLN DLR A #CLUBDEPARÍS HASTA MARZO 2022 - By #Reuters,0,22/06/2021 19:25:00,jorgeaotaola,0,no hay url
50,"#guzman reparecio diciendo que le pago un changui al #clubdeparis hasta el 2022 y como siempre sale con el discurso de @juntoscambioar , y la #inflación y la maquinita que decia ? renuncia de una vez super inutil",0,22/06/2021 19:25:58,chisp7,0,no hay url
49,#Guzmán informa que habrá dos pagos parciales (uno en julio y otro el año próximo) al #ClubdeParís aunque evitando un desembolso de dos mil millones de dólares que desfinanciaría las #reservas del Banco Central,0,22/06/2021 19:27:56,mnspezzapria,1,no hay url
48,#guzman además de sarasear con la #inflación no aclara de donde saca la guita para pagarle al #clubdeparis sino va tocar las reservas algo no encaja con tanta maquinita,0,22/06/2021 19:31:41,chisp7,0,no hay url
47,El #ministro #MartinGuzman anunció acuerdo de postergación de la deuda y tomó la centralidad de los portales de economía y negocios #elcorrectordelanoticia  #ClubdeParís #FMI @Martin_M_Guzman https://t.co/EEYEgKPygu,2,22/06/2021 19:37:11,correctordela,2,https://pbs.twimg.com/media/E4grPjLWEAESeFr.jpg
46,"Ellos con tal de ganar las #elecciones le dieron unos dinerillos al #clubdeparis para zafar , y despilfarrar la maquinita,  total a fin de año el #déficit lo paga pirulo",0,22/06/2021 19:39:32,chisp7,0,no hay url
45,"#clubdeparis Festejar pagar el mínimo de la tarjeta y flashear que te ahorrás el resto es de diezmado intelectual, el remate de locura es pensar que la que no tenés la vas a poder usar para seguir gastando... de ahí las drogas duras un paso!!!",0,22/06/2021 19:41:59,sesise172,0,no hay url
44,Club de París: Argentina hará un pago por parcial y no habrá #Default en julio #ClubDeParis #MartínGuzmán https://t.co/d77B6Ryn5y,0,22/06/2021 19:52:22,TimingPolitico,0,no hay url
43,El acuerdo con  #clubdeparis es para esconder el desastre que hizo Kiciloff  sumando 3600 millones de más,0,22/06/2021 19:52:29,m03980392,0,no hay url
42,"#Guzmán dijo que el #Gobierno llegó a un entendimiento con el #ClubdeParís y acordó extender los plazos de pago.
https://t.co/3ZItPkTWc2",3,22/06/2021 19:59:00,NAagencia,3,no hay url
41,#Deudaexterna/ Anuncian un #acuerdo con el #ClubdeParís para extender plazos y no caer en #default https://t.co/PDtlk9fD7B a través de @elsolquilmes #Economía @Martin_M_Guzman,0,22/06/2021 20:06:00,elsolquilmes,1,no hay url
40,"Patricio Castro - Com. Tel.: El #endeudamiento, el #comex y la #EconomíaReal &gt; #ClubDeParís y ... @radioam1010 https://t.co/bnjvtow9Vo",0,22/06/2021 20:16:01,RadioCutFm,0,no hay url
39,"Guzmán anunció alivio financiero de u$s 2000 millones tras acuerdo con Club de París para no caer en default 
@Gatosylvestre @giorgi_debora @Martin_M_Guzman
#ClubDeParis
#Deuda https://t.co/MNCFchfnq5",0,22/06/2021 20:23:44,mmorenonoticias,0,no hay url
38,"#Deuda 
Argentina evita el default con el Club de París: pagará U$S 430 millones
https://t.co/nbyLGPUlYe
#Economia #ClubDeParis #Default #Guzman #AsteriscosTv https://t.co/hHbeDtob2x",0,22/06/2021 20:26:55,AsteriscosTv,0,https://pbs.twimg.com/media/E4g2n1ZWUAANxfw.png
37,"📣@Martin_M_Guzman explicó los detalles sobre las negociaciones con el #ClubdeParís. Allí, informó: ""Hemos llegado a un entendimiento con el Club de París para obtener un puente de tiempo para no tener que afrontar un incumplimiento"". 
+ info 👉 https://t.co/dtW6P1Vc82 https://t.co/arbWrGBY2y",5,22/06/2021 20:32:03,TodoNegativo,3,https://pbs.twimg.com/media/E4g3y6CWQAIQvbA.png
