,tweets,likes,time,user name,RT count,media
520,@JUGuibert @StDenisPleyel @sbsalome @StephanTroussel @BorisDeroose @OrianeFilhol @CorentinDuprey Réponses dans l'ar… https://t.co/qTK3L4XWOa,1,27/06/2021 11:52:26,DPhilippe12,0,
519,A farebersviller on est comme en Seine St Denis ou en Algérie https://t.co/ssEK2UxJCB,0,27/06/2021 11:52:54,chegue_va,0,
518,El mediocampista iba al volante de un VW Golf. Atropelló a un uniformado de la Brigada Motorizada en San Juan y Fra… https://t.co/yKqNLH4OFm,1,27/06/2021 11:53:04,elciudadanoweb,0,
517,"Chicos. Son las 9 de la mañana, estamos desayunando con Denis y Guille. Charlamos mil horas con pato con vino y vod… https://t.co/18CgynHsgj",6,27/06/2021 11:53:07,NatyGaunaaa,0,
516,"@Denis_the_og I just wanna walk in, workout and then leave",0,27/06/2021 11:54:07,thelocalchief,0,
515,"Nasty man by the sounds of it. Something should've been done decades ago. 

What happened after Amy Shark forgot to… https://t.co/nQJ7aH3KE7",2,27/06/2021 11:54:53,GreenSteel,0,
513,"""On n'essaie pas de vacciner ceux qui en ont le plus besoin. On vaccine ceux qui sont plus agiles, ceux qui courent… https://t.co/jcD2wCq6Z5",1,27/06/2021 11:55:02,Colpizen,2,
514,Time and health are two precious assets that we don't recognize and appreciate until they have been depleted. - Den… https://t.co/yiMVcpbZNe,15,27/06/2021 11:55:02,JohnStefaniFI,2,
512,"ㅤ
Kalau bukan Denis ya ga bakal aneh begitu, nikah maunya di Pulau Komodo katanya. 🙂
ㅤ",0,27/06/2021 11:55:36,entitasmaya,0,
511,"#OTD 30 years ago, the Toronto Blue Jays acquire Tom Candiotti and Turner Ward from Cleveland in exchange for Glena… https://t.co/XblgOOHNOR",15,27/06/2021 11:55:37,coopincanada,2,
510,"So lovely to see so many gorgeous faces. Honestly, felt a bit emotional. Incredible @denis_shoots. We feel honoured… https://t.co/1v39psbMOm",40,27/06/2021 11:55:50,yorkiepud76,0,
509,"@MarieWe90229652 @denisrobert11 J’adore les éditos de Denis ! Je ne savais pas que Melenchon n’aimait pas ,moi je trouve ça super !",4,27/06/2021 11:56:06,WolinskiM,0,
508,@Denis_flores13 Hacemos miles de planes para el futuro... o nos enfrascamos en el pasado y dejamos de lado el prese… https://t.co/xeM4YiAHmH,2,27/06/2021 11:56:55,hugomonroyli,0,
507,@denis_aunga 🤣🤣🤣,1,27/06/2021 11:57:14,SamNato,0,
506,"@GazzaONuallain Yes, but the route yesterday was 197km. Even Denis O'Brien doesn't have that much fencing. She wasn… https://t.co/hkcNZyfM1c",0,27/06/2021 11:57:27,comagirlx,0,
505,@denis_pelegrini @CarlaZambelli38 🤡🤡🤡 https://t.co/qwbgVaVf6L,0,27/06/2021 11:57:43,CrevisonJony,0,https://pbs.twimg.com/media/E44yB4dXIAUXB2r.jpg
504,"Mais ce n’est pas tout. Fin mai près d’1/4 des 80 ans n’était pas vaccinés en France.

Mais dans bien des départeme… https://t.co/luxEAbkJqM",72,27/06/2021 11:58:01,nosservicespub,17,
503,@krozanski23 @skeet5811 @denis_gayira @BarackObama I'll admit that I enjoyed her comeback bc im really tired of eve… https://t.co/Kjbi4kJpeH,2,27/06/2021 11:58:25,KnitterSanity,0,
502,@wonder_ines @achrisbong a saint Denis tu vas te désaltère 👍,0,27/06/2021 11:58:30,waki96493354,0,
501,@pauldelaney2012 @DollErinn Was that the nasty one giving Denis a hard time,1,27/06/2021 11:58:34,irvine_pat,0,
500,@mandolakes @hartnett_denis https://t.co/42sNKjnz36,1,27/06/2021 11:59:27,darealmikehella,0,https://pbs.twimg.com/tweet_video_thumb/E44ybOUX0AEmhIY.jpg
499,@soniahke_ @__itsbrian_ @certified_denis,2,27/06/2021 11:59:33,vickkoh,0,
498,@denis_pelegrini @CarlaZambelli38 Até ter uma intervenção no país,1,27/06/2021 11:59:45,JosJooLadislau5,0,
497,"@devinequicestt Il resemble a Loup-Denis Elion qui joue dans Scène de Ménage mais non c'est pas lui, c'est Thierry Henry",1,27/06/2021 11:59:50,sacha_rbone,1,
496,Doubtful: Denis Parshin (F) | Dinamo Riga -&gt; HC Kosice | https://t.co/0XPQnMhot6 #Slovakia,1,27/06/2021 12:02:44,ep_transfers,0,
495,@Fedichkin_Denis Мммм что-то до боли знакомое....,2,27/06/2021 12:02:48,El_32_de_mayo,0,
494,Tkt on est fière de toi tu représentes Saint Denis quand même 🙏🏾 https://t.co/vKWTcDp2er,1,27/06/2021 12:03:25,Darko93200,1,
493,"Foundation Earth front-of-pack environmental scores were the brainchild of @Finnebrogue entrepreneur Denis Lynn, wh… https://t.co/0ZtgV0cztp",2,27/06/2021 12:04:14,FDNEarth,0,
492,@spfcpics denis,0,27/06/2021 12:05:25,ILobrigato,0,
491,@mpho_pitsi_ZA Denis Onyango,0,27/06/2021 12:05:29,muhirwabrian44,0,
490,"Happiness cannot be traveled to owned, earned, worn or consumed. Happiness is the spiritual experience of living ev… https://t.co/S4olnhdGoL",1,27/06/2021 12:06:25,beeaa87,4,
489,@denisbest16 @TescoIrl 😂😂😂 Denis never change,1,27/06/2021 12:07:27,flossybball,0,
488,"Blade Runner 2049 (2017) 
Denis Villeneuve https://t.co/VbMvKLynlb",28,27/06/2021 12:08:00,cineasimetrico,5,https://pbs.twimg.com/media/E3wuPn1XwAIhkbw.jpg
487,"Denis Fremond.
French, 1950.
Evening Clouds. https://t.co/rgvLX4zux6",28,27/06/2021 12:08:51,dinamittEros,6,https://pbs.twimg.com/media/E440lHmX0AI7dSz.jpg
486,@Denis_Bapt https://t.co/xik9pRuIHB,0,27/06/2021 12:09:07,anarshk,0,https://pbs.twimg.com/tweet_video_thumb/E440oiZXwAQoAuG.jpg
485,"[AHORA] Conferencia de prensa de la familia Denis.

EN VIVO por #ABCTVpy.

https://t.co/8FjozTfzdA https://t.co/R3s7fPV4rD",14,27/06/2021 12:10:06,ABCTVpy,7,https://pbs.twimg.com/ext_tw_video_thumb/1409121759324934154/pu/img/xk91BW5N4Wuxnfit.jpg
484,"Jai fini mes cils , je vais manger thai et jv au marcher de st denis",0,27/06/2021 12:10:13,Glaadys_93390,0,
483,"🚨GSO 93 : dissolution au Journal Officiel🚨
L’arrêté du 24 juin 2021 désigne l’opération de restructuration de servi… https://t.co/C8jVVHO5UZ",0,27/06/2021 12:10:35,IdfAlternative,0,
482,"""En la forma que ellos decidan, sea persona, radio, como sea, estamos dispuestas a dialogar y recuperarle a papá"",… https://t.co/maKWjzNuIh",3,27/06/2021 12:10:57,ABCTVpy,2,
481,@Bouteflikov La Thaïlande ressemble beaucoup à St Denis,0,27/06/2021 12:11:09,souverain_fr,0,
480,Denis walks going to the Supermarket and orders some eggs for  their daughter,0,27/06/2021 12:11:25,BotTriesBotFail,0,
479,Las hijas de Óscar Denis admiten autenticidad del escrito que les fue dejado a principio de mes por el EPP. Piden u… https://t.co/fZsa23Kxcx,67,27/06/2021 12:12:15,AnibalEspinola1,31,
478,"#AHORA 📍Conferencia de prensa de la familia del exvicepresidente Óscar Denis

#1020AM #EntreParéntesis @anibalemery https://t.co/mvLildHbqz",4,27/06/2021 12:12:28,nanduti,0,https://pbs.twimg.com/media/E440oX2WQAI02R9.jpg
477,"""Reiteramos nuestra disposición de negociar para que nuestro padre esté en libertad"", Beatriz Denis 

#1020AM #EntreParéntesis @anibalemery",0,27/06/2021 12:12:29,nanduti,0,
476,"""Vamos a cumplir con las condiciones siempre y cuando recibamos la información de que nuestro padre está con vida"",… https://t.co/htIIHrpn5m",0,27/06/2021 12:12:29,nanduti,0,
475,"""A más de nueve meses no tenemos noticias de las autoridades sobre los tres secuestrados"", Beatriz Denis 

#1020AM… https://t.co/KgGjjp3UoU",1,27/06/2021 12:12:30,nanduti,0,
474,"""Nosotras esperamos cualquier señal para que podamos cumplir con las condiciones"", Beatriz Denis

#1020AM #EntreParéntesis @anibalemery",2,27/06/2021 12:12:31,nanduti,1,
473,"""La nota encontramos en la estancia de la familia Lindstrom"", Beatriz Denis 

#1020AM #EntreParéntesis @anibalemery",2,27/06/2021 12:12:31,nanduti,0,
472,"@blast_france @Denis_Robert_ Hello..
Mnt vs le savez que le revenu universel de Hamon ne vaut pas un clou?… https://t.co/XTU7rQxTwO",0,27/06/2021 12:13:46,Jesus_Nazareen,0,
471,@unlabel_denis @megafonru у вас так можно?,0,27/06/2021 12:14:20,Timque,0,
470,@sebpok42 Quelle déchatte pour Denis qui avait si bien joué le coup depuis le début,1,27/06/2021 12:15:43,gerem22111,0,
469,"Demi Coderre maire de Montréal ! C’est une blague, un mensonge !https://t.co/QBprHgCqvO",0,27/06/2021 12:16:13,RolandLeBel,0,
468,"@RosalieAkono @duygu6l Je n'ai pas une ""copine"" mais une femme déjà et elle m'a offert un voyage au maldive en fait… https://t.co/qQ9QAGvhLL",0,27/06/2021 12:16:23,demondu95,0,
467,J’étais à st Denis y’a un mec il s’est mouché avec sa main. Les gens sont trop sale c’est incroyable,0,27/06/2021 12:16:33,fharris__,0,
466,"@sspriv17 yeh yeh, need that sweet sweet dynamism and ball prog that right-footed LBs come equipped with, denis irwin regen 🤞🤞🤞🤞",0,27/06/2021 12:17:19,tuchgrass,0,
465,"Fuentes extraoficiales dicen q el que iba en el auto era Maxi, pero le pasaron la cuenta a Denis. https://t.co/YVhEPF9Oke",0,27/06/2021 12:17:26,ABANDON0B,0,
464,Une élève de CM2 de l’école élémentaire de Saint-Denis-Lanneray décède après un malaise - Saint-Denis-Lanneray (282… https://t.co/hwIRHvvOhC,0,27/06/2021 12:17:47,mizoo0,0,
463,"#AHORA 🔴 | Conferencia de prensa de familiares del exvicepresidente y actual secuestrado por el #EPP, Óscar Denis.… https://t.co/Ug9o3RSuN1",15,27/06/2021 12:18:19,elindepepy,8,
462,Dût au masque ? ... https://t.co/WlTAIpRTow,0,27/06/2021 12:18:36,MrOpi90601447,0,
461,"Participation à 12 h élections régionales et départementales.
 
La Seine-Saint-Denis département le plus pauvre de… https://t.co/Zzj6fhsOCt",0,27/06/2021 12:20:10,Sarah41659531,0,
460,Une élève de CM2 de l’école élémentaire de Saint-Denis-Lanneray décède après un malaise - Saint-Denis-Lanneray (282… https://t.co/hA4EBd1ZlA,0,27/06/2021 12:20:10,minimoog18,0,
459,"@EnDebout @MarieWe90229652 @denisrobert11 C’est Dénis qui le dit dans cet édito ,tu n’as pas vu ?",1,27/06/2021 12:20:20,WolinskiM,0,
458,"Une écolière en France est décédée. Enquête sur la cause en cours, possible malaise cardiaque. 
Est-ce que le masqu… https://t.co/cJlZOu3GJu",1,27/06/2021 12:20:30,Excalibrute,1,
457,"Une écolière en France est décédée. Enquête sur la cause en cours, possible malaise cardiaque. 
Est-ce que le masqu… https://t.co/XfKHwn5WS1",1,27/06/2021 12:20:30,da85270226,0,
456,"@blast_france Très bon édito @Denis_Robert_ 
À regarder en buvant une infusion glacée à l'hibiscus.",0,27/06/2021 12:21:16,HrmtTimothee,0,
455,"Since the latest update on the California gubernatorial recall election, four new No Party Preference candidates ha… https://t.co/GYclv9SdbX",1,27/06/2021 12:21:21,Vote_Third_Ind,2,
454,https://t.co/1RRh4htOQJ,0,27/06/2021 12:21:53,Gilliardfranco1,0,
453,"Vient de publier une vidéo à Saint-Denis, Seine-Saint-Denis https://t.co/PNivkdDo7Z",0,27/06/2021 12:21:58,a_photographe,0,
