,tweets,likes,time,user name,RT count,media
1425,@josedavidlopez_ Dinamarca a semis,0,27/06/2021 17:25:21,AlejandroCasaas,0,
1424,Siento que Dinamarca ya está en Semifinales.,1,27/06/2021 17:25:34,arn460,0,
1423,Eu gosto da Euro pq só ela proporciona seleções como a Grécia campeã. E torcer pra que sei lá a Holanda e a Dinamar… https://t.co/bu6WxC9tBx,1,27/06/2021 17:25:52,macunaimaparda,0,
1422,@lopezdoriga Habla de Dinamarca…,0,27/06/2021 17:26:09,king_animalflow,0,
1421,O Dinamarca o republica checa van a estar en semis xddd,2,27/06/2021 17:26:26,Alejand1907Rbb,0,
1420,Pues eso. Dinamarca-República Checa en cuartos lolazo,0,27/06/2021 17:26:36,pabloppola,0,
1419,@JaviCarrillo_11 @josecarloscresp Dinamarca siendo uno de los pequeños de Europa nos mete 5....,0,27/06/2021 17:26:38,NelsonCabanilla,0,
1418,"Eita, Dinamarca e Tchéquia nas quartas de final da Eurocopa",0,27/06/2021 17:26:40,Fellipe_HFF,0,
1417,Chequia o Dinamarca en semis jsjsjsjsj,7,27/06/2021 17:26:44,AdictBarcelona,0,
1416,Avizinha-se um República Checa vs Dinamarca nos quartos e consequentemente uma delas nas meias,3,27/06/2021 17:26:45,andrenaves03,0,
1414,"@rubenuria Hay algo que no entiendo de esta euro, sedes donde equipos locales no juegan, de 24 equipos pasan 16, un… https://t.co/8c6qbf6a6l",0,27/06/2021 17:26:50,Federic80195576,0,
1415,VENIMOS AVISANDO DE DINAMARCA AMIGOS!!! CUIDADO NO SE PLANTEN EN SEMIS!!! SUBIROS AL CARRO AUN ESTAIS A TIEMPO!!!,2,27/06/2021 17:26:50,77Arimart,0,
1413,República Checa é a surpresa deste Euro a par da Dinamarca. Jogam muito,4,27/06/2021 17:26:51,lopes1904_,0,
1412,Precioso ese Dinamarca vs República Checa que se nos viene encima en cuartos,0,27/06/2021 17:26:53,JaviPdlC,0,
1411,"El tema de Twin Peaks - Orquesta Sinfónica Nacional de Dinamarca. En vivo.
https://t.co/QB1SyQagoe",1,27/06/2021 17:26:55,AragonEquity,0,
1410,Fds 🤣 tou mesmo a ver a Dinamarca a chegar á final fds 😅😂,1,27/06/2021 17:26:55,FernandezComS,0,
1409,"@futebol_info Tava demorando, não surpreende.
República Tcheca x Dinamarca, preparem que vem jogão nas Quartas.",9,27/06/2021 17:26:59,SilvinoSPFC,0,
