,tweets,likes,time,user name,RT count,media
1985,"A 35 años de una verdadera obra de arte realizada por el más grande de todos. ¡Barrilete cósmico! ¿De qué planeta viniste?

#DiegoEterno #Maradona #GritaloPorD10S ⚽️🔟🇦🇷❤

📽: @TotalerosAR

https://t.co/oU5oEO40B3",1,22/06/2021 22:06:58,SeHablaAsiFC,0,https://pbs.twimg.com/ext_tw_video_thumb/1407291349532037122/pu/img/ITmCtgC7CmoZlHOD.jpg
1950,"""Arranca por la derecha el genio del fútbol mundial..."" A 35 años del Diego contra Inglaterra en el Estadio Azteca #GraciasDiego #Maradona #GritaloPorD10S https://t.co/JYvPGqetrA",40,22/06/2021 22:08:50,MinutoBoca,10,https://pbs.twimg.com/ext_tw_video_thumb/1407460539140382721/pu/img/WtTW9mqRUGui-AIu.jpg
1944,Así el mundo volvió a vibrar con el gol de Maradona a los ingleses: los emotivos posteos de la campaña #GritaloPorD10S https://t.co/DE2pvDafbq,11,22/06/2021 22:09:06,cronica,3,no hay url
1920,"Cualquiera podía reconocer en él una síntesis ambulante de las debilidades humanas o al menos masculinas: mujeriego, tragón, borrachín, tramposo, mentiroso, fanfarrón, irresponsable. 
Pero los dioses no se jubilan, por más humanos que sean”.Eduardo Galeano. ❤️#gritalopord10s https://t.co/nEfUrWg00w",2,22/06/2021 22:09:39,Euge1978,0,https://pbs.twimg.com/media/E4hOIXbX0AAtsz8.jpg
1850,"Me parece que @TNTSportsAR debería agradecernos por haber sido anfitriones de uno de los mejores goles de la historia del fútbol 😍 

Nunca nos olvidaremos del GOLAZO de Diego Armando Maradona a Inglaterra en el Mundial 1986 ⚽

#GritaloPorD10S https://t.co/0HLVAsYwk6",15,22/06/2021 22:12:21,tntsportsmex,2,https://pbs.twimg.com/ext_tw_video_thumb/1407461393557868547/pu/img/tNGNv9N5nxXwJv5X.jpg
1845,"Impresentables @MaydaCresto
Y @carlosheller festejando en @DiputadosAR un gol de hace 35 años. Hoy nuestro país alcanza la cifra de 90.000 fallecidos por #COVID19
Qué vergüenza dan estos diputados.

#ElPeorGobiernoDeLaHistoria
#GritaloPorD10S https://t.co/btLt98Q0zW",0,22/06/2021 22:12:48,gonzalezfer,0,https://pbs.twimg.com/ext_tw_video_thumb/1407461546847092743/pu/img/jJFEnpIko4zk1TZ6.jpg
1814,"#GritaloporD10S El segundo gol de #DiegoEterno a #Inglaterra fue un golazo, y Víctor Hugo Morales convirtió ese golazo en un gol épico. Desde entonces, la jugada y el relato son inseparables  🎙⚽️

Por @claudio_gmz

https://t.co/9CgBYiJajZ",10,22/06/2021 22:13:43,442,5,no hay url
1798,"@tntsportsmex Gracias, hermanos mexicanos 🇲🇽

Todo lo que sucedió en el querido Estadio Azteca quedará para siempre grabado en nuestras memorias 😍

#GritaloPorD10S",3,22/06/2021 22:14:23,TNTSportsAR,0,no hay url
1791,"Gracias, hermanos mexicanos 🇲🇽

Todo lo que sucedió en el querido Estadio Azteca quedará para siempre grabado en nuestras memorias 😍

#GritaloPorD10S https://t.co/scZbcoKCO6",13,22/06/2021 22:14:45,TNTSportsAR,3,no hay url
1787,"#GritaloPorD10S 
#ElGolDelSiglo #ElGolDeTodosLosTiempos #LaManoDeDios 
reconocimiento al no gol https://t.co/9JnpmNPvou",2,22/06/2021 22:14:57,NandoCanalla,0,no hay url
1744,El abuelo se lo contó al padre y el padre se lo contó al hijo GRACIAS TOTALES DIEGO EL D10S DEL FÚTBOL #Maradona #GritaloPorD10S #DiegoEterno https://t.co/GDK48amKXz,0,22/06/2021 22:17:03,perucho_el,0,https://pbs.twimg.com/media/E4hP1QoXoAA37Dq.jpg
1737,"#GritaloPorD10S #DiegoEterno 

¡Gracias, Diego! Para siempre. 
🔟🇦🇷♾ https://t.co/UeeF7XixxO",2,22/06/2021 22:17:12,YOSOYCUERVOWEB,0,https://pbs.twimg.com/media/E4hP3E_XwAM6VS_.jpg
1719,"#GritaloPorD10S. Si...gritalo.
A #35AñosDeGloria,D10S le sigue dando alegría a mi corazón, pero me deja con infinita tristeza cuando aterrizo. https://t.co/t9wUMYNOLq",0,22/06/2021 22:18:15,FabianRisso74,0,https://pbs.twimg.com/media/E4hQG5_WYAAFbPy.jpg
1717,LosAndes | #GritaloporD10S Así se festejó en las calles de Mendoza el aniversario del “Gol del Siglo” de Diego Maradona https://t.co/mIsLvYIUl1 https://t.co/iVhf8JZdUU,0,22/06/2021 22:18:19,PortalDiarioAR,0,https://pbs.twimg.com/media/E4hQIDKVEAIIBNz.jpg
1692,"""Arranca por la derecha el genio del fútbol mundial..."" A 35 años del Diego contra Inglaterra en el Estadio Azteca #GraciasDiego #Maradona #GritaloPorD10S https://t.co/HB2HXZBgyg",0,22/06/2021 22:19:17,noelpintogarcia,0,https://pbs.twimg.com/ext_tw_video_thumb/1407462979981959174/pu/img/3wKrTiIO-ajbaZyX.jpg
1691,"La Bombonera latió a las 16.09 a 35 años del gol del siglo. Lo gritamos todos. #GritaloPorD10S 🔊 💙💛💙

#DiegoEterno https://t.co/H7cwdM3J51",2,22/06/2021 22:19:19,QuilmesFilial,1,https://pbs.twimg.com/ext_tw_video_thumb/1407462735508561921/pu/img/cVg1OeVdqKRCari_.jpg
1635,"⚽️ || 35 años de el mejor gol en la historia de los mundiales 
#GritaloPorD10S 
https://t.co/wwQ16lLOkC",2,22/06/2021 22:22:16,RevistaHV,1,https://pbs.twimg.com/ext_tw_video_thumb/1407143260548743168/pu/img/L73cYh_EVkda7KQa.jpg
1613,El mejor jugador de la historia del fútbol ⚽️🥇🏆💙  #GritaloPorD10S,0,22/06/2021 22:23:17,sarals4_,0,no hay url
1596,"#GritaloPorD10s 
soy Maradona contra inglaterra anotándote dos goles  https://t.co/MSu4EyrKtQ https://t.co/OlgzeFdoRw",1,22/06/2021 22:23:55,SoyCuervoRuben,0,https://pbs.twimg.com/media/E4hRZ5bWYAUlEN1.jpg
1574,"La Bombonera latió a las 16.09 a 35 años del gol del siglo. Lo gritamos todos. #GritaloPorD10S 🔊 💙💛💙

#DiegoEterno ♾🔟 https://t.co/F1W4nrHJqm",14,22/06/2021 22:24:58,JuanjoCabjOk,5,https://pbs.twimg.com/ext_tw_video_thumb/1407464498072539139/pu/img/QbThg2wWBp4AMvqB.jpg
1514,"Todo mi tl hablando de Maradona, q grande q sos Diego!! #DiegoEterno 
#GritaloPorD10S",1,22/06/2021 22:27:43,LUZ_Rosario25,0,no hay url
1497,"#GritaloporD10S #Maradona #GolDelSiglo
Diversos clubes de las categorías de ascenso argentino rememoraron a ""Pelusa"" y gritaron, nuevamente, el gol del siglo.

https://t.co/mu301PsAWD",7,22/06/2021 22:28:32,A24COM,1,no hay url
