,tweets,likes,time,user name,RT count,media
659,@ritacneeves_ Itália 🤝,1,27/06/2021 21:24:14,LuisAbreu0208,0,
658,"Il Premio Manfredi 2021 assegnato a Massimo Ghini - https://t.co/eM2QKgVtVh
⁦#NastridArgento https://t.co/0oN0yymMS5",1,27/06/2021 21:24:14,AntonioNaselli,0,
657,itália vai bater essa euro,0,27/06/2021 21:24:15,mvssevero,0,
656,"Ho visto ora l’ennesimo, inspiegabile, scellerato errore di #DeLigt ! Io adoro il centrale olandese , ma va detto c… https://t.co/O2xczKERtQ",3,27/06/2021 21:24:16,daves80,1,
654,@aAnTuNessss Itália vai fode-los,0,27/06/2021 21:24:17,patriciaa__24,0,
655,Belgia lawan Italia harusnya jadi paling seru ya. Harusnya. Belanda pun harusnya menang. Tapi kan kalah lawan Soucek 😂,0,27/06/2021 21:24:17,kartiktama,0,
653,"@mary15453 No Futebol ganha quem marca, não quem joga melhor. Portugal também desperdiçou muitas oportunidades, com… https://t.co/wXe1XKlqnl",1,27/06/2021 21:24:17,Nevoeiro18,0,
652,"@ritacneeves_ Itália, já tinha mandado vir o equipamento branco deles e chega amanhã! 🤩",3,27/06/2021 21:24:18,crisstianor77,0,
651,"Sarà il Belgio l’avversario di @Vivo_Azzurro ai quarti di @EURO2020, superato il Portogallo per 1-0. Escono dunque… https://t.co/FXkJpwqlqo",0,27/06/2021 21:24:18,LeonardoFusco4,0,
650,"Los Diablos Rojos superaron 1-0 a Portugal y en cuartos de final se enfrentarán a Italia.
https://t.co/g7anSPCM1O",0,27/06/2021 21:24:19,onlivepy,0,
649,"🦠 La venta no es legal todavía en España, sin embargo esta tarde he podido comprar en una farmacia de Madrid 5 test… https://t.co/4ysUWeETIn",5,27/06/2021 21:24:20,alejandrogueztv,1,
648,"@Joaco_HB @GiacoJuli_ Italia igual es mucho más que España. España no juega a nada, Luis Enrique armó una lista re falopa",1,27/06/2021 21:24:22,brunoaaaj,0,
647,"A Bélgica geralmente é a minha seleção favorita para apoiar depois da nossa, mas depois deste jogo e também dado ao… https://t.co/p8F8aSFUNg",0,27/06/2021 21:24:23,I_dare_to_say,0,
646,"@lbertozzi Algo pior aconteceu em copas, as campeãs : França 98 / Itália 06 / Espanha 10 / Alemanha 14 caíram na pr… https://t.co/EHoYgBeVZg",2,27/06/2021 21:24:25,Luiscarlos_ss,0,
645,"@YituVZ JAJAJAJA, sabía que Italia iba a ganarles.",0,27/06/2021 21:24:26,ReturnOfTheMau,0,
644,"Stringiamoci a coorte
Siam pronti alla morte
Siam pronti alla morte
L'Italia chiamò
Stringiamoci a coorte
Siam pron… https://t.co/Fq5HSjlNQm",1,27/06/2021 21:24:27,caporale27,0,
643,"@hell6lazer Sim, com Certerza 
 Não dá pra tirar a Alemanha do bolo
Eles têm MT tradição 
A Itália também",1,27/06/2021 21:24:27,LelouchEdu,0,
641,A Bélgica ou perde já com a Itália ou ganha o Euro da mesma forma que Portugal...,0,27/06/2021 21:24:29,dacar24,0,
640,Copa Italia k umutima 😂😂 https://t.co/RRUHpWvzud,1,27/06/2021 21:24:29,250Eyal,0,
642,Mirá vos. #Belgica eliminó a #Portugal 1-0 y ahora se enfrentará a #Italia en los cuartos de final de la #EURO2020 … https://t.co/Q3XHkMSvTf,0,27/06/2021 21:24:29,calfro79,0,
639,questo Belgio non fa per niente paura. Italia superiore. Sarebbe stato molto peggio con il Portogallo #BELPOR,3,27/06/2021 21:24:32,UProfondo,0,
638,"@koamir14 Estamos hablando de pruebas y ha ganado un montón, por algo será. Te guste o no es buena. Y para sin sang… https://t.co/ejOrflPVo6",0,27/06/2021 21:24:33,fearless__19,0,
637,@BartDeCoo @thibautcourtois Wait next match against italia. Its over,0,27/06/2021 21:24:33,BigJohnnydu59,0,
636,Quiero vivir en Italia,3,27/06/2021 21:24:34,minnihache,1,
635,@ibradj @LuisOmarTapia Italia si le puede ganar a belgica yo confio en italia ahora si gana belgica yo espero q lle… https://t.co/Pidto9gpOx,1,27/06/2021 21:24:35,Giovanni1185,0,
633,@licoccia1958 @makkox Più possibilità per l'Italia che punta sempre al meno peggio,0,27/06/2021 21:24:36,PIraghi,0,
634,@car_va_lhoo pq itália merece todos os direitos do mundo e se os maneskin ganharam a eurovisão eu respeito que ital… https://t.co/8XYcwf4IsS,0,27/06/2021 21:24:36,bruc0st4,0,
632,"EL TRONO QUEDA VACANTE...

Definidos dos de los cuartos de final de la Eurocopa:

Bélgica 🇧🇪🆚🇮🇹 Italia

República C… https://t.co/bhFWVJPCrR",65,27/06/2021 21:24:37,CentralFOXMX,19,
631,"⚽ 🇧🇪 Bélgica 1 x 0 Portugal 🇵🇹
🏆 Eurocopa 2020
↪️ Oitavas de Final - Jogo Único

Prevalece eficiência e poder defen… https://t.co/GXvLDK87yU",5,27/06/2021 21:24:37,boleirosfc_br,0,
630,L'ultima Italia-Belgio credo sia proprio quella del 2-0 con gol di Giaccherini e Pellè venerdì non avremo simili bo… https://t.co/dDaFbSWwIH,0,27/06/2021 21:24:39,Correntable,0,
629,a real é que belgica x italia vai ser um dos jogos mais MERDA dessa euro,0,27/06/2021 21:24:41,MoizesMaia,0,
