,tweets,likes,time,user name,RT count,media
621,@mariah_jawad @WOJ4_ @MKh698 @hamaddug @gorgeous4ew وش تخربطين الا محد يقول ان شاءالله الا مسلم ماله دخل اللغه العربيه,1,27/06/2021 13:20:32,wee_di1,0,
620,Beetle juice x Mariah the Scientist is so good. I can’t believe she wrote this whole album about Yachty,0,27/06/2021 13:20:37,SoTyedUp,0,
619,@nicolerichieex Sektörde resmen godfather ama. Rihanna ile Usher’ın kariyerini yükseltti+Mariah ile J.Lo’nun kariye… https://t.co/pMFpUHjkRq,0,27/06/2021 13:21:36,nbabaronu,0,
618,"Só tem eu acordada nessa porra, Felipe foi pra casa, Mariah e Allan estão mortos, Paulo nem sei se ainda existe, mi… https://t.co/TbbqSgbNu4",0,27/06/2021 13:22:09,Pepanascimento,0,
617,mariah the scientist is so pretty,6,27/06/2021 13:22:23,lexynoellee,2,
616,"and the way mariah said ""not on my watch!"" and did a concert anyways in klcc plsss this country is so petty https://t.co/pe6SNSmtna",2,27/06/2021 13:22:33,lizzypunani,0,
615,"Madonna
Mariah Carey
Björk https://t.co/rxnoWUByus",2,27/06/2021 13:22:40,SergioConSB,0,
614,"MUSIC: Mariah Carey ft. Snoop Dogg - Say Something Mp3 Download https://t.co/fUUiZ19yoH

NEW MUSIC OUT",0,27/06/2021 13:22:48,360Hausa,0,
613,"@MariahNewzz Mariah is the best female vocalist period. There are other great singers, but she's the best",0,27/06/2021 13:22:50,Pebbles6001,0,
612,Mariah Carey and for that reason no one lets me be in charge of music. Lmao. https://t.co/6GTDYm9Ptw,0,27/06/2021 13:22:53,AsToldByBrian,0,
611,"Top 10 Female Artists In My Playlist

1.   Lira
2.   Zonke
3.   Beyonce 
4.   Shekhinah
5.   Celine Dion
6.   Maria… https://t.co/VF1GYVOEaX",2,27/06/2021 13:23:05,RealAsiveBrian,0,
610,"P.S: I don't hate Whitney, Bey and Ari but y'all need to stop disrespecting Mariah all the time like she's nothing… https://t.co/bvI56keK8l",0,27/06/2021 13:24:00,ScorpioLeo24,0,
609,"what mariah did on ""my all"". whew. currently missing exes i don't even have.",0,27/06/2021 13:24:12,miakeandre,1,
608,Beyoncé and Mariah’s friendship &gt;&gt;&gt; https://t.co/KK1NnpST0o,2,27/06/2021 13:24:25,Nick2on,2,https://pbs.twimg.com/media/E45F3uPVkAYgjnO.jpg
607,@katysexwife @shawnpmcd @katyperry @ArianaGrande I never heard people saying Katty inspired young generation singer… https://t.co/18DRrIzYD1,0,27/06/2021 13:24:30,kervtoy,0,
606,Mariah the Scientist is always the mood,0,27/06/2021 13:25:12,baileyyoh,0,
605,@MariahCarey Mariah elle a quoi comme souci,0,27/06/2021 13:25:29,diarraibrahima1,0,
604,"@ThatEricAlper Any album by Justin Bieber, Miley Cyrus, Mariah Carey….and the other twenty or so commercials that call themselves musicians",0,27/06/2021 13:27:15,californiatones,0,
