,tweets,likes,time,user name,RT count,media
378,"angela merkel: voted most powerful woman in the world every year since 2006.

2010 michelle obama: https://t.co/jfn6jsLjbJ",0,26/06/2021 22:59:17,Xinj,0,https://pbs.twimg.com/tweet_video_thumb/E41_20iWYAA-OOT.jpg
377,"Just so you know, I'm a supreme Angela Merkel boy toy, which is  why I'm going easy on you.",0,26/06/2021 22:59:45,dumbbrags,0,
376,"@Julioac13 Se olvidó de mentiroso, sarasero y acomodaticio. Valores de los que carece Merkel.",1,26/06/2021 22:59:55,julio061943,0,
375,@mariaFFreijo @carlavizzotti La merkel de la salada,0,26/06/2021 23:00:27,inbox_dirk,0,
374,"@mariaFFreijo @carlavizzotti podrá tener  empeño, pero le falta muchísimo para poder siquiera usar los saquitos de… https://t.co/7ieuWZrvdn",0,26/06/2021 23:01:18,marcesoy2,0,
373,Angela Merkel to visit Boris Johnson in UK next week https://t.co/4Va5eH8DYq,0,26/06/2021 23:01:56,Sheeraz037,0,
372,"@LolyhAllah @gloriarancibia7 @SantiCafiero Merkel no se disfraza, no anda diciendo burradas en los medios, es una P… https://t.co/Yudx4FOotJ",1,26/06/2021 23:01:59,danipopsickle,0,
371,"16000 neue Varianten.. Lauterbach Spahn und Drosten kollabieren, Brinkmann orgasmiert sofort und Merkel küsst Söder auf den Mund",0,26/06/2021 23:02:58,CMauske,0,
370,"@TichysEinblick Die zentrale Aussage Gafrons, Merkel wäre Biden in den Rücken gefallen, ist falsch.  Biden unterstü… https://t.co/itMUXsLca3",0,26/06/2021 23:03:23,frei_ist,0,
369,@mustafa15605767 @Figentregun @aygan07 @BurakTheBuilder Zaman olsa aynı bu olurdumda ablam Merkel çok çalıştırıyor… https://t.co/vymwsf2rR4,0,26/06/2021 23:04:06,0KarlRanseier0,0,
368,"Merkel wurde immer zugutegehalten, dass sie in der Lage sei, die Dinge vom Ende her zu denken. Da jedoch mehr als 6… https://t.co/aNleP5FMwh",9,26/06/2021 23:04:51,chrilikon,1,
367,@AfDVerdachtfall Frau Merkel steht nicht mehr auf der Liste?,0,26/06/2021 23:04:56,VolkerOnline,0,
366,"Merkel: La variante delta pone a Europa ""en la cuerda floja"" https://t.co/UlbKsxMKMH",1,26/06/2021 23:04:59,apunterd,1,
365,"Ankündigung aus 2017: Außer Spesen nichts gewesen, könnte man meinen… https://t.co/FNM3JrXWNs",2,26/06/2021 23:06:07,LarsHaise,1,
364,"@Sportrecht_Dus Was kommst als nächstes ?
GAMER DÜRFEN NICHT ABER MERKEL GEHT ZUR GAMESCOME !!",0,26/06/2021 23:06:26,KNeko94,0,
363,@RandilynIsIn @Rschooley Didn't Angela Merkel get a shot of Moderna after an AZ?  Seems similar situation?,1,26/06/2021 23:06:34,mo_ontheroad,0,
362,@PanSzymoniak @W_Kowal A nie Merkel poprzez chyżego ruja? 🤪,0,26/06/2021 23:08:17,StefekMichnik1,0,
361,"@fraeuleinevans Auch ein Resultat der Ära #Merkel: Deutschland ist zur Freiluftpsychiatrie Afrikas verkommen.

#Würzburg",2,26/06/2021 23:08:59,PWaxenstein,0,
360,@DeThoma59680777 @ainyrockstar Ein Drecksloch. Vor Merkel gab es eindeutige Tendenzen und dann hat Merkel mit roter… https://t.co/PyA0ADmbBh,1,26/06/2021 23:09:09,lio_mika,0,
359,"@Jo3ll3 @Hoekstraj58 @jelleprins Nooit!
Wereldleiders als Biden, Merkel allemaal met enorm veel respect.

🇾🇪Totaal… https://t.co/C69vYW4XFA",4,26/06/2021 23:09:11,PeterSpitters,0,
358,"@JohannesNormann Das müssen diese warmherzigen Menschen sein, von denen Merkel und Hofstaat ständig predigen und mi… https://t.co/WQbPbtaXZO",2,26/06/2021 23:09:11,Leonidas_der_1,1,
357,Boris Johnson in holiday showdown with Angela Merkel https://t.co/cTRN0yiDk6 via @MailOnline,0,26/06/2021 23:09:45,potomkine,2,
356,Endlich Frau #Merkel. Vielen Dank❗️ https://t.co/rU4fLi8Rqc,33,26/06/2021 23:09:57,Kopertaa,17,https://pbs.twimg.com/media/E42Bw6nWQAYNtGd.jpg
355,"@Lizgottik El Fuhrer Tropical tan cerca de Daniel Ortega, y tan lejos de Angela Merkel.",0,26/06/2021 23:09:59,german42603086,0,
354,"@porquetendencia @mariaFFreijo Sí para mi tiene cosas de Merkel, un llavero y un póster",0,26/06/2021 23:10:28,JuliNeck7,0,
353,"@MalteKaufmann Dass Terror aus anderen Kulturkreisen nicht präzise diskutiert werden kann, ist mit euer Verdienst,… https://t.co/lJye0FofpD",19,26/06/2021 23:11:06,anouk_avf,1,
352,@adrian1farrell @business @GretaThunberg There you are mistaken. Merkel and Germany introduced multiple taxes for t… https://t.co/uomlTMXurd,0,26/06/2021 23:11:31,AngliaJohnny,0,
351,"@mariaFFreijo @carlavizzotti Tomografía Urgente, creo que sufriste un ACV y todavía no te diste cuenta pero estás d… https://t.co/MtnlvPrEP0",0,26/06/2021 23:12:06,nachoviene,0,
350,@Nice_Matin Le porte-parole du gouvernement allemand a dit que c'était une attaque contre tout l'humanité et contre… https://t.co/7Nn5vox7xY,0,26/06/2021 23:12:12,Ccurraann,0,
349,"Messer-Angriff in von Würzburg: Kanzleramt verschweigt Hinweise auf Islamismus 
Merkel-Sprecher spricht trotz einde… https://t.co/Dx6TErnsAJ",4,26/06/2021 23:12:14,Mehriel,2,
348,"@DevliegerErik Ja,wir schaffen das,merkel ferkel🐷",1,26/06/2021 23:12:17,Meg15904303,0,
347,@who98408150 Merkel çok kıskanıyordur şimdi değilmi,1,26/06/2021 23:12:18,arzuyld28195973,0,
346,"@mariaFFreijo @carlavizzotti No la veo a Merkel encubriendo el tráfico de vacunas, por ejemplo....",0,26/06/2021 23:12:20,bigotedened,0,
345,"@SpuncySp @cducsubt Sie haben es genau auf den Punkt gebracht.
Die erste Welle haben wir mit #Merkel #Drosten #RKI… https://t.co/B7vEC11Crs",21,26/06/2021 23:12:47,svonhaxthausen,2,
344,@BergmannMax_ @Anemalon19 @AfDFilme @Holger_Lucius @report24news Es wird in diesem Land immer schlimmer was Betrug… https://t.co/ZG5ujbdNA9,8,26/06/2021 23:13:15,rove_we,3,
343,"@mariaFFreijo @carlavizzotti Por un momento pensé q era ironía...pero no.
Para empezar, entre decenas de diferencia… https://t.co/3P7Mzm6Izw",0,26/06/2021 23:13:48,drz32,0,
342,@AliCologne Kennt ihr nicht allmählich die Merkel-Politik ?,0,26/06/2021 23:14:34,jussi_bjoerling,0,
341,@mariaFFreijo @carlavizzotti Merkel jajajaja...no termina una frase que se contradice 5 minutos despues y dice que se parece a merkel.,0,26/06/2021 23:15:49,lea77cai,0,
340,"@LibSoz Und Macron könnte noch viel stabiler im Amt sein, wenn wir ihn nicht bei seinen EU-Vorschlägen komplett vor… https://t.co/PEeXTSMI9E",2,26/06/2021 23:15:53,iriswasapupil,0,
339,"Diktatur ist, wenn Angela Merkel seit zig Jahren am Ruder ist.",0,26/06/2021 23:16:39,DNiedrig,0,
338,"What's your Agenda #Obama? 

#NATO 
Netanyahu stepped down.
Jim Junior stepped down.
Merkel stepped down. https://t.co/ib5YIJViOB",0,26/06/2021 23:17:43,PollyD74563389,0,https://pbs.twimg.com/media/E42EEfDXIAUN1Cv.jpg
337,@mariaFFreijo @carlavizzotti Que sus padres se vacunaron con privilegio. Merkel eso no lo hace,0,26/06/2021 23:17:45,nickzab78,0,
336,"@clandestinanena Al final, la que es parecida a Merkel es la que mandan a hombrear cajas de AZ....",1,26/06/2021 23:17:59,Dulcmastr,0,
335,@MarkusSiebert5 @ElseSchuster5 @PapkeGerhard @gunnar_beck Also die Medien hat die D Regierung doch auch bestens im… https://t.co/IsEcLVpRjj,4,26/06/2021 23:18:04,KukKonig,0,
334,"@mariaFFreijo @carlavizzotti Jajajaja, a Merkel, no le llega ni a los talones esa Visotti.",0,26/06/2021 23:18:54,MIGUELBEDIA2,0,
333,"What's your Agenda #Obama? 

#NATO 
Netanyahu stepped down.
Jim Junior stepped down.
Merkel stepped down. https://t.co/XDwDldL6PO",0,26/06/2021 23:19:01,PollyD74563389,0,https://pbs.twimg.com/media/E42EXjhWQAEs1iP.jpg
332,"@LongCjlsackley1 @shep59r1 @paulafr68963440 Merkel can't either.
Spain are struggling, but rely on us, Greece....
E… https://t.co/5oQ2trfjjg",1,26/06/2021 23:19:15,OnlyTalkingSen1,0,
331,"@mariaFFreijo @carlavizzotti La misma que hizo saltarse la fila a sus viejos y los vacuno antes, la misma que tiene… https://t.co/kBJ9q2Nc9p",0,26/06/2021 23:19:48,GiselaOria,0,
330,@piraguon Son dos autoritarias e incogibles.Merkel y esta gorda.,1,26/06/2021 23:20:32,ClaudioLeguiz2,0,
329,"What's your Agenda #Obama? 

#NATO 
Netanyahu stepped down.
Jim Junior stepped down.
Merkel stepped down. https://t.co/2kcmfawRbN",0,26/06/2021 23:20:36,PollyD74563389,0,https://pbs.twimg.com/media/E42EuuVWQAsUPRO.jpg
328,"@iriswasapupil Aber Hauptsache wir fühlen uns moralisch überlegen😇 Mal im Ernst, ich verachte diese deutsche Art. W… https://t.co/MxDFe77ikU",2,26/06/2021 23:20:51,LibSoz,0,
327,"@citiz_zen @dwnews #Merkel just wants another ‘cozy relationship’ , at the expense of the #EU and #Germany, before… https://t.co/3r6jicgnxN",1,26/06/2021 23:20:52,Jamess993,0,
326,"Bueno, hay que ver si Merkel no se quedó con algún vuelto. 
https://t.co/S7meWL8kCv",2,26/06/2021 23:21:01,JeSuisFander,0,
