,tweets,likes,time,user name,RT count,media
196,todo mendoza en potrerillos que alguien me invite,2,26/06/2021 22:01:35,guadaascatta,0,
195,@TurcoMendocino El cafecito en San Martín y Sarmiento..los portones del parque..la alameda...potrerillos...chacras.… https://t.co/j9ZXjyc2P8,1,26/06/2021 22:01:36,sabermas2211,0,
194,#Mdza #Potrerillos https://t.co/VQphohOU7z,1,26/06/2021 22:04:08,Mariapen20Maria,0,https://pbs.twimg.com/media/E41zNHfXoAEmTu4.jpg
193,@constanzabravi Dique potrerillos? 😍,1,26/06/2021 22:05:11,GuidoGarciaRod,0,
192,Hoy asi se veia el dique potrerillos desde la salida del tunel de Cacheuta. Mendoza. Argentina. https://t.co/pvAWe13law,1,26/06/2021 22:05:29,GracielaBerard1,1,https://pbs.twimg.com/media/E41zi7eXMAsOR0E.jpg
191,@QuilomboNoruega oiga en Potrerillos también nieva y es más cerca https://t.co/0yx8EbYF5N,12,26/06/2021 22:08:08,LaliBeht,4,https://pbs.twimg.com/media/E410JPJXIAg-tDO.jpg
190,Me encanta ver como todos están en Potrerillos o en la crucecita y yo soy la única pelotuda que estoy adentro de mi casa,8,26/06/2021 22:10:00,angee_navaa,10,
189,"❄Una copiosa nevada en #Mendoza provocó el cierre de rutas y de pasos fronterizos

☃️Las bajas temperaturas provoca… https://t.co/NONBMfpbFw",0,26/06/2021 22:10:06,NuevaRioja,2,
188,#Potrerillos #Mdza https://t.co/ZPw4r2aJB1,3,26/06/2021 22:10:26,Mariapen20Maria,1,https://pbs.twimg.com/media/E410qjCXIAA0hRg.jpg
187,#Potrerillos #Mdza https://t.co/LxkCwbqLCW,2,26/06/2021 22:11:26,Mariapen20Maria,0,https://pbs.twimg.com/media/E4104Z1XIAMtxaP.jpg
186,cómo q nevó en potrerillos me voy de viaje para allá https://t.co/AJMZIlQ5Fd,0,26/06/2021 22:15:50,sunlesb,0,
185,No quiero estar en potrerillos,0,26/06/2021 22:18:28,pri_ledda,0,
184,Que ganas de ir a potrerillos esta hermosooooo,1,26/06/2021 22:20:47,Valentinaguero6,0,
183,Como es que no estoy en una cabaña en potrerillos tomando un vinito al lado de un fuego ?,7,26/06/2021 22:22:08,FrancoPezutti1,4,
182,Raquetas listas 💪 solo faltas vos! Se el protogonista #invierno #mendoza a km de #potrerillos. 📲 + 54 9 261 259 7270 https://t.co/AmeRqog9Zx,0,26/06/2021 22:24:42,PortdelViento,0,https://pbs.twimg.com/ext_tw_video_thumb/1408913641764798464/pu/img/KAGadZljzz4IhDGr.jpg
181,Que bonita la nieve pero no yo no subo a Potrerillos ni en pedo jaja que frío chicos,3,26/06/2021 22:26:18,gisellech,0,
