,tweets,likes,time,user name,RT count,media
315,Samid internado no vielve a la carcel,0,22/06/2021 23:14:21,Leconchis1,0,no hay url
314,@clarincom Samid nació de una confusión!,1,22/06/2021 23:14:24,arg_nicoletta,0,no hay url
313,"Como olvidar cuando FAT Tony estuvo con Tinelli 🤣

SAMID

https://t.co/cF74nGQ7tI",0,22/06/2021 23:14:37,jovenexpert,0,no hay url
312,@JonatanViale No te voy a perdonar que me hiciste ver a Samid bailando. https://t.co/39lwuITgDe,0,22/06/2021 23:15:05,mescorcielo,0,https://pbs.twimg.com/tweet_video_thumb/E4hdHLMWYAQ4gbm.jpg
311,Alberto Samid fue desmentido por la parrilla donde comió al violar la prisión domiciliaria https://t.co/CVcMtpyu7S,0,22/06/2021 23:15:41,Luisjoargue,0,no hay url
310,Cuántos puestos de trabajo creó Samid? Encima evadiendo impuestos al palo. Que increíblemente liberal es Albert Samid.,1,22/06/2021 23:15:52,Emarrd2,0,no hay url
309,"#lanacionmas
Casi muero del asco ver lo berreta y mediocre del gordo Samid bailando en lo
de Tinelli, te roban y festejan en la tele😡😡",1,22/06/2021 23:16:11,ceciliag7326,1,no hay url
308,Tan en la ostra que no sabía que Samid había estado en el bailando de Marcelo “Hambre Cero” Tinelli… #QuePaís,1,22/06/2021 23:16:13,Kali_De_Nadie,0,no hay url
307,"Impresentable Samid con Tinelli, desde todo punto de vista . Dos decadentes, baratos, para no copiar.",0,22/06/2021 23:16:29,1956_cristel,0,no hay url
306,Deja el show que nos es tarina Samid https://t.co/7b6rpgH4Ch,1,22/06/2021 23:16:58,checharlu,0,no hay url
305,"@JonatanViale cuando Samid salía en el programa de tu papá , tb era ya un evasor... ridiculo! Estás haciendo el ridiculo hno! Volve un poco sobre los pasos de tu viejo q era un gran periodista...no un mercenario del sobre! Nabo!
#Hipocritas #Lechoso",1,22/06/2021 23:17:02,JoseMCr18192749,0,no hay url
304,"Todo bien Jhony con que Samid es una laKra y muchos lo usan para sumar rating, pero no es un tema del que puedas hablar, a menos que muestres la otra foto también https://t.co/zuGgGLICfC",3,22/06/2021 23:17:31,El_Mjolnir,0,https://pbs.twimg.com/media/E4hdq0iXoAYzaZ7.jpg
303,¡La pelea menos pensada! Alberto Samid se enfrentó con Ergün Demir https://t.co/kEHBzia0jX #drmilagro #doctormilagro #elpaseenln @edufeiok,0,22/06/2021 23:17:40,bjornalpha,1,no hay url
