,tweets,likes,time,user name,RT count,media
26,#santiagoCafiero,0,26/06/2021 13:08:22,tranquilamente1,0,
25,Cafiero: “Tenemos una lista de temas más prioritarios que discutir cargos como hace la oposición”… https://t.co/vApED7vHzO,0,26/06/2021 13:57:39,QuePasaWeb,0,
24,"#SantiagoCafiero

""La #VarianteDelta llegará al país, buscamos retrasarla""

Más detalles de la mano de @javslucki y… https://t.co/wcaiBRMPEa",8,26/06/2021 14:27:42,CronicaTV,4,
23,"""La variante Delta indefectiblemente llegará al país"", advirtió #SantiagoCafiero https://t.co/XribZzTcrB https://t.co/ed0UEvLaHt",0,26/06/2021 14:43:02,LaGacetaTucuman,0,https://pbs.twimg.com/media/E40OR8lUUAAb1nd.jpg
22,"Cafiero culpó al gobierno de Macri por la rebaja de calificación de Morgan Stanley a la Argentina 
#SantiagoCafiero… https://t.co/Qj4plVOcap",0,26/06/2021 20:35:40,elchorrilleroSL,0,
21,"#SantiagoCafiero: ""Para el 31 de diciembre me imagino una Argentina toda vacunada"". Detalles en la nota 👇
https://t.co/UQB7Yh0RRo",0,26/06/2021 20:37:42,InfozonaOficial,0,
20,@ArielSqueff1977 #SantiagoCafiero 🇦🇷🇦🇷🇦🇷 https://t.co/8qGxB7gJtY,2,26/06/2021 21:58:30,LeganKaro,2,https://pbs.twimg.com/media/E41x8RuX0AIv6kI.jpg
19,#SantiagoCafiero #27JRepudioTotal 🇦🇷🇦🇷🇦🇷 https://t.co/t4wEByclcA,0,26/06/2021 22:01:05,LeganKaro,0,https://pbs.twimg.com/media/E41yiMgX0AICLJB.jpg
18,"@mistermiga No pasan un psicofísico 🇦🇷🇦🇷🇦🇷#SantiagoCafiero  El presi , éste , el pankeke, Esha , el hijo, el hijo a… https://t.co/dRuFZx1YKP",2,26/06/2021 22:07:40,LeganKaro,0,
17,#SantiagoCafiero Menos los acomodados como vos https://t.co/G2Az16vtW4,0,26/06/2021 22:18:23,LeganKaro,0,https://pbs.twimg.com/media/E412f43XwAcyK5n.jpg
16,No senten ningún remordimiento por los 92.000 muertos q hoy no están porque empezaron a vacunar tarde y encima se r… https://t.co/YTbRrCksld,1,26/06/2021 22:57:13,DanielaTufTuf,1,
15,"@rodrigo_reynal A #Ofelia hay que sacarla, si no se va a convertir en #santiagocafiero, ah , pero Macri...",0,26/06/2021 23:12:25,lucash932,0,
14,Cada momeennntoooo @cristiancastro #santiagocafiero holis https://t.co/fmajrEbrjh,0,26/06/2021 23:23:24,elpeladiaz86,0,https://pbs.twimg.com/ext_tw_video_thumb/1408928853200936962/pu/img/fU8mj8R2ebA--hek.jpg
13,Según #santiagocafiero el fresquete de hoy es culpa de Macri,1,26/06/2021 23:46:07,billysalla,0,
12,"#SantiagoCafiero. Vendría a ser como una Tolosa Paz, pero con ""japi"" de inútil y caradura.",30,26/06/2021 23:54:33,LadyAMA01091892,8,
11,"#SantiagoCafiero responzabiliza a Macri, por diseñar un sistema de control del clima para cagarle la vida a los que… https://t.co/ktDxb9j6jT",0,27/06/2021 00:18:18,Ceci_Ceratiana,0,
10,"#SantiagoCafiero. Son todos iguales, empezando por la Chorra mayor. psicopatas, mendaces, sinverguenzas, a sabienda… https://t.co/Fu2gkT8hJe",0,27/06/2021 01:19:36,Anastasazia,0,
9,"#SantiagoCafiero Yo creo, que hasta los termocéfalos k, ya ni se molestan en creerles la fruta que tiran.   paaabre… https://t.co/sYdFxp3qio",2,27/06/2021 01:26:51,Anastasazia,1,
8,"#SantiagoCafiero La envidia feróz que le tiene a un Sr, Como MM.  No le llegan ni a los talones, ES la impotencia p… https://t.co/AKJ7HjphiF",2,27/06/2021 01:55:58,Anastasazia,2,
7,@LANACION #SantiagoCafiero https://t.co/gMhYlgY2sl,0,27/06/2021 02:02:13,LeganKaro,0,https://pbs.twimg.com/media/E42pul3X0AQNV6j.jpg
6,"Dicen que hay una supuesta ""lucidéz"" antes de la muerte. Es algo mítico.
De ser así, #SantiagoCafiero estará al bor… https://t.co/phLB08lPtg",0,27/06/2021 06:11:02,DaVuelta,0,
5,"Dejá de mentir nieto de inmoral, ladrón!!!! Inútil, poluto, miembro de la asociación ilícita más grande del mundo,… https://t.co/9LYrGTCiiR",0,27/06/2021 09:57:01,DerDeradru,0,
4,"‼️🏠#Sedronar | #Construcción | #Casas | @SantiagoCafiero | @Sedronar 
Sedronar: anuncian la construcción de 50 nuev… https://t.co/CxYUlTBbA2",1,27/06/2021 13:13:11,RED92cadadiamas,1,
3,#SantiagoCafiero  Limitado https://t.co/a0geU1s6tM,0,27/06/2021 14:05:10,LeganKaro,0,https://pbs.twimg.com/media/E45PMdpWQAM0GDJ.jpg
2,"La variante delta va a entrar, pero no por Ezeiza donde hay testeos  y protocolo es una medida para la tele para de… https://t.co/5z3Ck3ZD2w",0,27/06/2021 14:56:51,m03980392,0,
1,"@DanielaTufTuf @alferdez @SantiagoCafiero @carlavizzotti Te miente por todos lados , la vacuna rusa se aplica a los… https://t.co/PE4aNZqqQ7",1,27/06/2021 17:27:48,GerardoHerdt4,1,
0,@DanielaTufTuf @alferdez @SantiagoCafiero @carlavizzotti El mundo ya vacunado con las dos dosis está cerrando otra… https://t.co/wsPgb9kWa1,1,27/06/2021 20:21:40,GerardoHerdt4,1,
