,tweets,likes,time,user name,RT count,media
97,"""No es el tiempo el que nos da derecho a permanecer sino muchas de las injusticias que nos dieron origen y que aún… https://t.co/QxEQuxgCM6",43,27/06/2021 00:04:05,jpcasari,7,
96,#UCR130 🤍❤️ https://t.co/RFPmUd1qqw,0,27/06/2021 00:07:15,NaEQui_85,0,
95,#UCR130 https://t.co/YIzeMfy0qG,9,27/06/2021 00:08:04,JRxARGENTINA,6,
94,#UCR130 https://t.co/BEk9gYO1F3,1,27/06/2021 00:08:30,Ateneo30deOct,1,
93,#UCR130 https://t.co/ECGYHVfOz3,6,27/06/2021 00:08:58,radicalesxarg11,3,
92,"“Tenemos que tener el compromiso de construir una fuerza política potente, una fuerza política que no sólo gane ele… https://t.co/3QxVIYCQyo",105,27/06/2021 00:09:10,UCRCapital,61,
91,#UCR130 https://t.co/TKOu1GYAcr,11,27/06/2021 00:09:27,ocampomartinBA,4,
90,"🇵🇱 @ManesF: “La UCR debe liderar el proceso que necesitan los argentinos”

#UCR130 La nota acá 👇

https://t.co/uFunOttAo4",0,27/06/2021 00:09:38,dipbonaerenses,0,
89,#UCR130 https://t.co/JdiDEE0hOO,5,27/06/2021 00:10:41,MRaquelHerrero,3,
88,"No quiero terminar el día sin saludar a los amigos y amigas de la UCR en su aniversario.

Son el primer partido pol… https://t.co/TOxN6kPX1v",338,27/06/2021 00:10:47,monzoemilio,50,
87,"Haber elegido formar parte de la UCR fue una de mis mejores decisiones,  feliz aniversario
#UCR130 https://t.co/FQ9AGbOoBl",5,27/06/2021 00:11:20,FabianaDellagas,0,
86,"Trascender en el tiempo, por convicción y por valores. 
Somos pasado, presente y futuro.
#UCR130",2,27/06/2021 00:13:16,LopezDeGaetano,2,
85,"Hoy la @UCRCapital festejó el aniversario del partido mostrando nuestra visión del país y el mundo:

•Estado eficie… https://t.co/DFW7Bxq1EP",27,27/06/2021 00:13:49,ThiagoLeis,1,
84,#UCR130 https://t.co/YIzeMfy0qG,0,27/06/2021 00:13:59,JRxARGENTINA,0,
83,"Distintas generaciones, un mismo corazón  #UCR130 https://t.co/ssETWa7Rvy vía @UCRNacional",1,27/06/2021 00:14:15,Javjvazquez,0,
82,#UCR130 https://t.co/okPsnOHLow,2,27/06/2021 00:15:54,ExGolpistaAde,0,https://pbs.twimg.com/tweet_video_thumb/E42RZDDWEAUBn40.jpg
81,#UCR130 🇵🇱 https://t.co/y9Mu1CsSVR,8,27/06/2021 00:18:14,ignaciomy,1,https://pbs.twimg.com/ext_tw_video_thumb/1408942378753445890/pu/img/1ugVZuMuHQ980iyd.jpg
80,"Esta mañana celebramos en el comité los 130 años de la Unión Cívica Radical🇵🇱🇦🇷
¡Muchas gracias a todos por partici… https://t.co/qhKrseKcwz",12,27/06/2021 00:18:22,UCR_Areco,8,
79,"“Estoy convencido de que con esta Juventud y este renovado Partido vamos a honrar nuestros 130 años de historia, va… https://t.co/LBUVmZ8jqq",152,27/06/2021 00:19:43,UCRCapital,22,
78,"SIEMPRE CON LAS BANDERAS EN ALTO 

130 años de ideas, de lucha, de compromiso y progresismo. 

¡Feliz aniversario U… https://t.co/t9qKDKrEOL",11,27/06/2021 00:21:52,FranjaMendoza,3,
77,todos los éxitos para manaña a los candidatos/as del Frente Cambia Jujuy. Por que la provincia manaña no va a volve… https://t.co/OiIX61bnj3,2,27/06/2021 00:22:25,hugotartaglia,1,
76,👌🏽🙏🏽@Edu__Feinmann @majulluis #UCR130 https://t.co/UM4rAzWY6U,0,27/06/2021 00:24:07,paulalazaga,0,
75,¡Hola! Les compartimos el vídeo del Comité Nacional por los 130 años de la Unión Cívica Radical. Te invitamos a com… https://t.co/uBPOX87FZG,2,27/06/2021 00:25:33,UCR_Moron,1,
74,"De un sueño lejano y bello viday, soy peregrino
Felices 130 @UCRNacional 💜❤
#UCR130 https://t.co/hPRMWsEYeI",2,27/06/2021 00:26:00,littisandro,0,
