,tweets,likes,time,user name,RT count,media
1029,"Verstappen

Hamilton 

Bottas
Perez 

Norris

Bit of a spread out top 5. 

#StyrianGP | #F1",36,27/06/2021 13:52:41,wearetherace,2,
1028,"No se que está pasando, pero parece que Lewis Hamilton no va rápido y ni alcanza a Max Verstappen

#StyrianGP #EstiriaDAZNF1",0,27/06/2021 13:52:42,ruben_orange,0,
1027,@LAFElNTE No way you're complaining about a verstappen walk in the park,0,27/06/2021 13:52:42,thfcbxn,0,
1026,Red Bull'un otomobili baya aykiri hakkaten. Verstappen mala bağlamazsa Lewis'in şampiyonluğu baya zor bu sene,0,27/06/2021 13:52:45,34guguk,0,
1024,Too easy for verstappen today.,0,27/06/2021 13:52:47,HornimanBrogan,0,
1025,"verstappen poderia ir com Deus tbm, ninguém reclamaria",3,27/06/2021 13:52:47,lyaalvesc,1,
1023,Ferrari need to get it right next season. We need Leclerc vs Verstappen.,0,27/06/2021 13:52:55,ScxmbagWZRD,0,
1022,"Verstappen &amp; Hamilton are a class above, so good to see them competing this season #StyriaGP",0,27/06/2021 13:52:56,kevbarnesphoto,0,
1021,"Hamilton won't catch Verstappen, Perez won't catch Bottas.  There: I did that on an Etch-a-Sketch
#F1 #StyrianGP",1,27/06/2021 13:52:58,pitflaps,0,
1020,Torcer pro Verstappen deve ser tão bom,0,27/06/2021 13:52:59,tecaker,0,
1019,"#Fórmula1 | 🇳🇱 El piloto de Red Bull y líder del Mundial, Max Verstappen, partió por delante de Mercedes. 🏎https://t.co/WV2QVnhpk9",1,27/06/2021 13:53:01,NuevoDiarioSDE,0,
1018,"Styrian Grand Prix 2021.. F1 ..
Lap 29 ..and 30/71 ..
Hamilton pits , bolts on a set of hard tyres.. Verstappen fol… https://t.co/FCiXAYboWI",0,27/06/2021 13:53:02,mpriyanshu1982,0,
1017,"This is not a Verstappen Jinx, but easy win and absolute sh***ng on the rest of the field #WTF1 https://t.co/I9Gm9XXnUX",0,27/06/2021 13:53:04,flo33277516,0,https://pbs.twimg.com/tweet_video_thumb/E45MbeOWEAM4GKu.jpg
1016,@GameRiotArmy Hamilton needs to find his NOS button if he's going to catch Verstappen,0,27/06/2021 13:53:09,MCFC1977,0,
1015,"#F1: Williams sebut ada kendala teknis unit mesin yang dialami Russell

Sementara saat ini di depan Verstappen masi… https://t.co/HftgzMpz8U",2,27/06/2021 13:53:10,RepublikF1,0,
1014,deadarse i think i support Verstappen more than McLaren 😭😭,0,27/06/2021 13:53:12,naokareses,0,
1013,Als ik morgen naar de garage ga dan ga ik vragen waarom banden wisselen zo duur is terwijl het in 2 seconden kan. #formule1 #f1 #verstappen,15,27/06/2021 13:53:14,stolliebollie,1,
1012,"Sale Sainz delante de Alonso. Fernando pierde la posición al tener que dejarse doblar por Verstappen. 

#StyrianGP 🇦🇹",25,27/06/2021 13:53:15,alomgc14,0,
1011,MAX VERSTAPPEN NUMBER ONE RACING https://t.co/xzJ3hCSSJd,7,27/06/2021 13:53:19,dongflab,3,https://pbs.twimg.com/media/E45MfPDXMAQBnS1.jpg
1010,Verstappen is handling this race bruh.,1,27/06/2021 13:53:20,ItumelengM__,0,
1009,"Verstappen ve Hamilton ayrı bir ligde. Tur zamanları birbirlerine çok yakın.
#StyrianGP https://t.co/baoIeuWlKZ",11,27/06/2021 13:53:24,F1efsane,1,https://pbs.twimg.com/media/E45MegxXwAkmx1z.jpg
1008,@DaveGaming73 Denke RB hat die Gap dann easy zu stoppen. Sollte n Verstappen win sein leider^^,0,27/06/2021 13:53:24,Malte24312,0,
1007,espero que os pneus do Verstappen dêem pra chegar até o final,0,27/06/2021 13:53:26,_vhugo17,0,
1006,"Ngm tira essa vitória do Verstappen, nem eu zikando",0,27/06/2021 13:53:28,diogojordan23,0,
1005,Might as well congratulate Verstappen,0,27/06/2021 13:53:35,heirbambi,0,
1004,VERSTAPPEN MAMA MIA ROLA,0,27/06/2021 13:53:35,artchamiltom,0,
1003,Verstappen lapped Vettel. Ouch! #StyrianGP,2,27/06/2021 13:53:38,timiokoya,0,
1002,"Verstappen e Hamilton uma corrida, Bottas e o restante outra
 #StyriaGP #F1naBand",2,27/06/2021 13:53:42,jessiecarvalhos,0,
1001,"Max Verstappen acaba de passar Stroll, o próximo retardatário é Lando Norris, que está bem a frente. #F1",10,27/06/2021 13:53:45,Felipemmeira,1,
1000,Hope Verstappen put his car in the gravel,0,27/06/2021 13:53:51,_joshmc00,0,
999,Tot nu toe een vrij saaie race maar Verstappen nog steeds P1 #f1 #formule1,0,27/06/2021 13:53:53,MikeeNL,0,
998,"Vuelta 44: La distancia Verstappen-Hamilton se estabiliza en 4,4s

#F1 #StyrianGP 🇦🇹",1,27/06/2021 13:53:56,RaulMolinaRecio,0,
997,Max Verstappen doblando a Fernando Alonso. Vuelta 43/71 #StyrianGP https://t.co/Js7LUW5OIC,23,27/06/2021 13:53:58,AutosMemoLira,3,https://pbs.twimg.com/tweet_video_thumb/E45Mon2WEAI0VaR.jpg
996,"Top 10 até o momento🏁

Verstappen
Hamilton
Bottas
Pérez
Norris
Stroll
Sainz
Alonso
Tsunoda
Vettel

#F1naBand #F1 #Formula1 #StyrianGP 🇦🇹",4,27/06/2021 13:54:07,mel__ribeiro,1,
995,"➡️ [40/71] 📋

1 M. Verstappen 
2 L. Hamilton 
3 V. Bottas 
4 S. Pérez 
5 L. Norris 
6 L. Stroll
7 C. Sainz 
8 F. Al… https://t.co/HQz7L5g5SK",1,27/06/2021 13:54:10,tuercastablones,0,
992,@CardaoPistola Tá querendo zikar muito meu mano verstappen pqp,1,27/06/2021 13:54:15,BrasilJae,0,
994,Verstappen achando que anda muito. Quero ver ficar em 8th com a merda da Williams https://t.co/PIftSSKT9b,0,27/06/2021 13:54:15,GuiiLopes07,0,
993,"1. Verstappen 
2. Hamilton 
3. Bottas 
4. Perez 
5. Norris 
6. Stroll 
7. Sainz 
8. Alonso 
9. Tsunoda 
10. Vettel 

#f1naband",25,27/06/2021 13:54:15,BandTV,2,
990,@originalbaybe Watching Max Verstappen #F1,0,27/06/2021 13:54:16,BartBaPapa1,0,
989,"Verstappen
Hamilton
Bottas
Perez 
Norris
Stroll
Sainz 
Alonso
Tsunoda 
Vettel

Giovinazzi
Leclerc
Raikkonen
Ocon
Ri… https://t.co/TGmgzW4eZH",0,27/06/2021 13:54:16,FelipeCastro46,0,
988,"Essa vai ser do Verstappen dnv, não tem jeito #F1naBand",1,27/06/2021 13:54:16,diogorocha169,0,
991,verstappen abim döktürüyor yine,2,27/06/2021 13:54:16,birghostt,0,
987,"Max Verstappen is a Cheat Code 
SU RITMO DE CARRERA DE NUEVO ES ASOMBROSO 

#GPEstiria #Verstappen",0,27/06/2021 13:54:21,volumenDportivo,0,
986,@sportsbetcomau yeah didn’t Verstappen win it at USA GP back in like 2017 or something,1,27/06/2021 13:54:22,shitshowstevo,0,
985,"MEU IRMÃO, EU NÃO QUERO SABER QUE O BOTTAS E O PEREZ TÃO NA MESMA IMAGEM, EU QUERO OUVIR ISSO DO HAMILTON COM O VERSTAPPEN!",0,27/06/2021 13:54:22,tutu_cascaes,0,
984,Verstappen winning means Cam is gonna spam that song for the rest of the day https://t.co/iz7lizPJJl,1,27/06/2021 13:54:29,Sumo08112,0,https://pbs.twimg.com/media/E45MwY0WYAA6tZ7.jpg
983,"é isso, pelo visto mais uma vitória da red bull, parabéns max verstappen, vou parar de ver agora",0,27/06/2021 13:54:32,nogitsunews,0,
982,"@nozzpots Ffs man, how did he get in that gap 😭 it’s verstappen’s fault the bastard",0,27/06/2021 13:54:33,_CFCRoy,0,
981,"Verstappen 4s adelante, me gusta",0,27/06/2021 13:54:34,Feriguain,0,
980,"Verstappen is about to catch....basically half the pack or so, to put them a lap down. #StyrianGP #F1",0,27/06/2021 13:54:36,SASedor2994,0,
979,"Todos los pilotos han hecho las paradas. Repasamos el top-10:

Verstappen
Hamilton
Bottas
Pérez
Norris
Stroll
Sainz… https://t.co/FWwtY2B9b1",0,27/06/2021 13:54:41,TFinishLine_,0,
978,"Verstappen partió primero en el Gran Premio de Estiria, en Austria https://t.co/eIYnzpLGfB",0,27/06/2021 13:54:43,MHidrovia,0,
977,"Y asi van en la formula 1.
Pista: Red Bull Ring
Tabla de clasificación
Vuelta 38/71
1.- M. Verstappen
Red Bull·#33… https://t.co/V7asKkHrn7",5,27/06/2021 13:54:45,OdiseaD,3,
976,"#F1naBand #StyrianGP
44/71 - Grid depois de todo mundo parar:
1 Verstappen
2 Hamilton
3 Bottas
4 Perez
5 Norris
6 S… https://t.co/MV7jbdfZ5e",0,27/06/2021 13:54:46,zonadeultrapass,0,
975,@Pierre_B_y verstappen doit engranger,0,27/06/2021 13:54:47,guss92290,0,
