id,tendencia,explicación,url,media,time,suceso
0,Actuaba,Por los comentarios sobre las declaraciones de Sebastián Estevanez en #AgarrateCatalina,https://t.co/gDYroZQ8QV,https://pbs.twimg.com/media/E42FiAaWEAMA2NF.png,2021-06-26 23:24:03,aislado
1,SantiagoCafiero,Por sus declaraciones sobre la calificación del MSCI,https://t.co/Vdvst1a7V8,https://pbs.twimg.com/ext_tw_video_thumb/1408917609928593408/pu/img/Po-uXBhv8cGpgur-.jpg,2021-06-26 22:40:03,político
2,Italia,Porque venció a Austria y avanzó a los cuartos de la #EURO2020,https://t.co/uXNfShrcLx,https://pbs.twimg.com/media/E41soJkXIAEIud3.jpg,2021-06-26 21:35:16,deportivo
3,Dinamarca,Porque derrotó a Gales y clasificó a los cuartos de la #EURO2020,https://t.co/Z7EtUGP55M,https://pbs.twimg.com/media/E4065VGWYAcDzFp.jpg,2021-06-26 17:57:58,deportivo
4,Potrerillos,Por la nevada en esa localidad de Mendoza,https://t.co/ar0B6T9ccF,https://pbs.twimg.com/media/E40zq1AWQAQB3pP.jpg,2021-06-26 17:26:24,aislado
5,Mariah,Por las acusaciones de Luchy DR,https://t.co/Cn76bnAmRS,https://pbs.twimg.com/media/E40xkIGXoAk0unX.png,2021-06-26 17:17:13,artístico
6,Denis,Porque Denis Rodríguez protagonizó un accidente de tránsito,https://t.co/i8Cw5aGGXK,https://pbs.twimg.com/media/E40Wa1gX0AUlyZr.png,2021-06-26 15:18:36,trágico
7,Verstappen,Porque consiguió la pole position en el #StyrianGP,https://t.co/KzqGtPbMh3,https://pbs.twimg.com/media/E40GyazXoAg4Z_2.jpg,2021-06-26 14:10:18,deportivo
8,UCR130,Porque la Unión Cívica Radical cumple 130 años,https://t.co/zLb3IEZnme,https://pbs.twimg.com/media/E40FJZfWQAQjqZr.jpg,2021-06-26 14:03:08,conmemorativo
9,MasacreAvellaneda,Porque se cumplen 19 años desde que Maximiliano Kosteki y Darío Santillán fueron asesinados por agentes de la Policía,https://t.co/Z2MlQNWNxF,https://pbs.twimg.com/media/E40E-wcXwAADl4V.jpg,2021-06-26 14:02:25,conmemorativo
10,10AÑOS,Porque se cumplen 10 años desde que Belgrano ascendió a #PrimeraDivision y provocó el descenso de River a la #BNacional,https://t.co/pGzdVpsKTa,https://pbs.twimg.com/media/E4x2DK6XwAQwhtq.jpg,2021-06-26 3:37:56,conmemorativo
11,Merkel,Por el tweet que publicó @mariaFFreijo,https://t.co/HKHouXOcJR,https://pbs.twimg.com/media/E4xjCGJXEAAbQ8j.jpg,2021-06-26 2:14:51,aislado
12,IvanaNadal,Por lo que sucedió a partir de una colaboración que hizo para un sorteo en Instagram,https://t.co/ugaLxK5tUm,https://pbs.twimg.com/ext_tw_video_thumb/1408609330715369476/pu/img/fEIbuYoumwEnBhHP.jpg,2021-06-26 2:13:43,aislado
